item_id;reqId;element_text;verdict_type(local/conflict/cross_module/supersede/refine/gap)
1;R33;Identifier format conflict;conflict
2;R70;Monetary rounding inconsistency;cross_module
3;R79b;Rent report generation rule;local
4;R50;Availability query correctness;refine
5;R74;Reward and penalty audit logging;cross_module
6;R102d;Penalty application rule;refine
7;R25;Invoice generation rule;cross_module
8;R30;Grace-period cancellation rule ambiguity;cross_module
9;R31;Maintenance matrix dependency;local
10;R43;Requested-rent reservation semantics;refine
11;R69;Calculation accuracy rule;refine
12;R26;Rent cancellation rules;local
13;R47;Maintenance-state representation ambiguity;cross_module
14;R92c;Rental cost calculation rule;local
15;R58c;Notification preference rule;local
16;R71;Calculation accuracy rule;refine
17;R33;EMAIL_LOGISTICS_Barcode_Requirement.txt;conflict
18;R74;Audit logging rule;cross_module
19;R80;Authoritative monetary source consistency;local
20;R70;Authoritative monetary source consistency;local
21;R91d;Loyalty business rule definition gap;cross_module
22;R22;Rent validation rules;local
23;R80;Financial report accuracy;conflict
24;R63;Rounding rule consistency;refine
25;R61;Pricing configuration rule;local
26;R69;Price calculation logic;cross_module
27;R58c;Mandatory notification exception handling;refine
28;R97b;Late-return definition ambiguity;cross_module
29;R45;Deleted vs unavailable state ambiguity;cross_module
30;R72b;EMAIL_DATA_Internal_Audit_Discrepancy.txt;conflict
31;R38;Identifier consistency in reporting;refine
32;R72;Billing display vs storage separation;local
33;R51;Availability calculation logic;conflict
34;R25;Rent report generation rule;local
35;R2;Generic duplicate-email error;refine
36;R39;Item modification logic;cross_module
37;R61c;EMAIL_MARKETING_Newsletter_Force.txt;refine
38;R7;Independent consent capture;local
39;R65;Payment lifecycle ambiguity;cross_module
40;R50;Availability state semantics separation;local
