runId,reqId,mode,pipeline,provider,model,repeatIndex,promptVersion,testId,title,gherkin,rationale,usedSourceIds,usedContextItems,evidenceSources,targetTitle,targetBody,evidenceText,generationSummary,resolvedOperativeContext,resolvedExceptions,resolvedConflictsOrObsolete,resolvedGapsOrUncertainties,resolvedEvidenceIds,resolutionNotes,injectedOperativeCount,injectedExceptionsCount,injectedConflictsCount,injectedGapsCount
d88a2566,R33,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R33_1,Valid identifier with alphanumeric characters,"Given an identifier format rule is defined
When an identifier contains only alphanumeric characters
Then the identifier should be accepted as valid",Identifiers should accept standard alphanumeric characters as the basic valid format,R33,Identifier format rule,,Identifier format rule,Identifier format rule,NO_EVIDENCE,"Test cases for identifier format rule validation. These tests verify that identifiers conform to the required format specifications, including valid and invalid identifier patterns, edge cases, and boundary conditions.",,,,,,,0,0,0,0
d88a2566,R33,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R33_2,Valid identifier with underscores,"Given an identifier format rule is defined
When an identifier contains alphanumeric characters and underscores
Then the identifier should be accepted as valid",Underscores are commonly allowed in identifier formats to improve readability,R33,Identifier format rule,,Identifier format rule,Identifier format rule,NO_EVIDENCE,"Test cases for identifier format rule validation. These tests verify that identifiers conform to the required format specifications, including valid and invalid identifier patterns, edge cases, and boundary conditions.",,,,,,,0,0,0,0
d88a2566,R33,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R33_3,Invalid identifier with spaces,"Given an identifier format rule is defined
When an identifier contains spaces
Then the identifier should be rejected as invalid",Spaces are typically not allowed in identifier formats,R33,Identifier format rule,,Identifier format rule,Identifier format rule,NO_EVIDENCE,"Test cases for identifier format rule validation. These tests verify that identifiers conform to the required format specifications, including valid and invalid identifier patterns, edge cases, and boundary conditions.",,,,,,,0,0,0,0
d88a2566,R33,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R33_4,Invalid identifier with special characters,"Given an identifier format rule is defined
When an identifier contains special characters like @, #, $, or %
Then the identifier should be rejected as invalid",Special characters are generally not permitted in standard identifier formats,R33,Identifier format rule,,Identifier format rule,Identifier format rule,NO_EVIDENCE,"Test cases for identifier format rule validation. These tests verify that identifiers conform to the required format specifications, including valid and invalid identifier patterns, edge cases, and boundary conditions.",,,,,,,0,0,0,0
d88a2566,R33,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R33_5,Valid identifier starting with letter,"Given an identifier format rule is defined
When an identifier starts with a letter
Then the identifier should be accepted as valid",Identifiers typically must start with a letter to comply with standard naming conventions,R33,Identifier format rule,,Identifier format rule,Identifier format rule,NO_EVIDENCE,"Test cases for identifier format rule validation. These tests verify that identifiers conform to the required format specifications, including valid and invalid identifier patterns, edge cases, and boundary conditions.",,,,,,,0,0,0,0
d88a2566,R33,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R33_6,Invalid identifier starting with number,"Given an identifier format rule is defined
When an identifier starts with a number
Then the identifier should be rejected as invalid",Most identifier formats require starting with a letter rather than a number,R33,Identifier format rule,,Identifier format rule,Identifier format rule,NO_EVIDENCE,"Test cases for identifier format rule validation. These tests verify that identifiers conform to the required format specifications, including valid and invalid identifier patterns, edge cases, and boundary conditions.",,,,,,,0,0,0,0
d88a2566,R33,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R33_7,Valid identifier with mixed case,"Given an identifier format rule is defined
When an identifier contains both uppercase and lowercase letters
Then the identifier should be accepted as valid",Identifiers should support mixed case characters for flexibility in naming,R33,Identifier format rule,,Identifier format rule,Identifier format rule,NO_EVIDENCE,"Test cases for identifier format rule validation. These tests verify that identifiers conform to the required format specifications, including valid and invalid identifier patterns, edge cases, and boundary conditions.",,,,,,,0,0,0,0
d88a2566,R33,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R33_8,Invalid identifier with hyphens,"Given an identifier format rule is defined
When an identifier contains hyphens
Then the identifier should be rejected as invalid",Hyphens are typically not allowed in identifier formats as they can conflict with operators,R33,Identifier format rule,,Identifier format rule,Identifier format rule,NO_EVIDENCE,"Test cases for identifier format rule validation. These tests verify that identifiers conform to the required format specifications, including valid and invalid identifier patterns, edge cases, and boundary conditions.",,,,,,,0,0,0,0
d88a2566,R33,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R33_9,Valid identifier with minimum length,"Given an identifier format rule is defined
When an identifier has a single character
Then the identifier should be accepted as valid",Single character identifiers should be supported as a minimum valid format,R33,Identifier format rule,,Identifier format rule,Identifier format rule,NO_EVIDENCE,"Test cases for identifier format rule validation. These tests verify that identifiers conform to the required format specifications, including valid and invalid identifier patterns, edge cases, and boundary conditions.",,,,,,,0,0,0,0
d88a2566,R33,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R33_10,Valid identifier with maximum length,"Given an identifier format rule is defined
When an identifier contains multiple alphanumeric characters and underscores
Then the identifier should be accepted as valid",Identifiers of reasonable length should be supported to allow descriptive naming,R33,Identifier format rule,,Identifier format rule,Identifier format rule,NO_EVIDENCE,"Test cases for identifier format rule validation. These tests verify that identifiers conform to the required format specifications, including valid and invalid identifier patterns, edge cases, and boundary conditions.",,,,,,,0,0,0,0
