item_id;reqId;element_text;gherkin_test;verdict_TRUE_MISS_PARAPHRASE_PARTIAL
1;R24;Rent creation flow;"Feature: Rent Activation Rule
  Scenario: System prevents activation of Draft rent records
    Given a rent record with status ""Draft""
    And the rental start date is set to today
    When the system processes rent activation
    Then the rent status should remain ""Draft""
    And an error message should indicate the record is not approved";TRUE_MISS
2;R1;E.164 normalization + strict email validation;"Feature: Registration Form Mandatory Field Validation
  Scenario: Submit button remains disabled when last name is empty
    Given the registration form is displayed
    And the first name field is filled with ""John""
    And the email field is filled with ""user@example.com""
    And the phone field is filled with ""1234567890""
    And the password field is filled with ""SecurePass123""
    And the Terms and Conditions checkbox is checked
    When the last name field is empty
    Then the Submit button should be disabled";PARTIAL
3;R1;Registration mandatory fields;"Given I am on the registration page
When I fill in the first name, last name, phone number, email address, password
And I check the legal consent checkbox
Then the 'Submit' button should be enabled";PARTIAL
4;R4;Basic login without MFA;"Feature: MFA Capability
  Scenario: Recovery codes generated during MFA setup
    Given a user is setting up MFA
    When MFA setup is completed
    Then the system should provide recovery codes to the user";TRUE_MISS
5;R49;Overlap prevention rule;"Feature: Activation Status Validation
  Scenario: Attempt to activate a rent record not in Approved status
    Given an authorized user
    And a rent record with status 'Requested'
    When the authorized user attempts to activate the rent record
    Then the activation is rejected
    And an error message indicates the record must be in 'Approved' status";TRUE_MISS
6;R72b;EMAIL_DATA_Internal_Audit_Discrepancy.txt;"Feature: Financial Report Accuracy - Audit Traceability

  Scenario: Financial report generation is fully auditable and traceable
    Given a financial report generation process
    When a report is generated
    Then the system must log all inputs, calculations, and outputs
    And the audit trail must be accessible to authorized reviewers
    And the source data for each report element must be traceable
    And any manual adjustments or overrides must be explicitly recorded
    And the audit trail must be immutable and time-stamped";TRUE_MISS
7;R37;Deletion status mismatch;"Given an item is not referenced by any active rental activity
When a request to soft delete the item is made
Then the item should be marked as deleted in the technical status model";PARTIAL
8;R4;Multi-factor authentication (MFA) capability for login;"Feature: MFA Authentication
  Scenario: User successfully logs in with MFA enabled
    Given the user has MFA enabled
    And the user enters a valid username and password
    When the user is prompted for the second authentication factor
    And the user provides a valid OTP code
    Then the user should be granted access to the system";PARTIAL
9;R25;Rental cost calculation rule;"Feature: End-of-rent lifecycle transition
  Scenario: Status does not update if rental end date is not reached
    Given the rental end date is not reached
    When the system processes the end-of-rent lifecycle
    Then the status should not be updated to 'Maintenance'";TRUE_MISS
10;R39;Identifier immutability rule;"Given an account with email 'conflict@example.com' and phone number '8889990000' exists
When a new account is created with email 'conflict@example.com' and phone number '8889990000'
Then the account creation should fail with a conflict error";PARTIAL
