runId,reqId,mode,pipeline,provider,model,repeatIndex,promptVersion,testId,title,gherkin,rationale,usedSourceIds,usedContextItems,evidenceSources,targetTitle,targetBody,evidenceText,generationSummary,resolvedOperativeContext,resolvedExceptions,resolvedConflictsOrObsolete,resolvedGapsOrUncertainties,resolvedEvidenceIds,resolutionNotes,injectedOperativeCount,injectedExceptionsCount,injectedConflictsCount,injectedGapsCount
3e1802ce,R62,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R62_1,Calculate rental cost for single day rental,"Feature: Rental Cost Calculation
  Scenario: Calculate cost for single day rental
    Given a rental item with daily rate of $50
    When the rental duration is 1 day
    Then the total rental cost should be $50",Basic test case to verify that the rental cost calculation correctly computes the cost for a single day rental by multiplying the daily rate by the number of days.,R62,Rental cost calculation rule,,Rental cost calculation rule,Rental cost calculation rule,NO_EVIDENCE,"Generate 10 executable Gherkin test cases for the rental cost calculation rule requirement. Since the requirement body only contains the title ""Rental cost calculation rule"" without specific details, the test cases will cover common rental cost calculation scenarios including base rate calculations, duration-based pricing, discounts, taxes, and edge cases.",,,,,,,0,0,0,0
3e1802ce,R62,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R62_2,Calculate rental cost for multiple days,"Feature: Rental Cost Calculation
  Scenario: Calculate cost for multiple days rental
    Given a rental item with daily rate of $50
    When the rental duration is 5 days
    Then the total rental cost should be $250",Test case to verify that the rental cost calculation correctly multiplies the daily rate by the number of rental days for multi-day rentals.,R62,Rental cost calculation rule,,Rental cost calculation rule,Rental cost calculation rule,NO_EVIDENCE,"Generate 10 executable Gherkin test cases for the rental cost calculation rule requirement. Since the requirement body only contains the title ""Rental cost calculation rule"" without specific details, the test cases will cover common rental cost calculation scenarios including base rate calculations, duration-based pricing, discounts, taxes, and edge cases.",,,,,,,0,0,0,0
3e1802ce,R62,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R62_3,Calculate rental cost with weekly discount,"Feature: Rental Cost Calculation
  Scenario: Calculate cost with weekly discount applied
    Given a rental item with daily rate of $50
    And a weekly discount of 10%
    When the rental duration is 7 days
    Then the total rental cost should be $315",Test case to verify that the rental cost calculation applies weekly discounts correctly when the rental period qualifies for such discounts.,R62,Rental cost calculation rule,,Rental cost calculation rule,Rental cost calculation rule,NO_EVIDENCE,"Generate 10 executable Gherkin test cases for the rental cost calculation rule requirement. Since the requirement body only contains the title ""Rental cost calculation rule"" without specific details, the test cases will cover common rental cost calculation scenarios including base rate calculations, duration-based pricing, discounts, taxes, and edge cases.",,,,,,,0,0,0,0
3e1802ce,R62,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R62_4,Calculate rental cost with tax applied,"Feature: Rental Cost Calculation
  Scenario: Calculate cost with tax applied
    Given a rental item with daily rate of $50
    And a tax rate of 10%
    When the rental duration is 2 days
    Then the total rental cost should be $110",Test case to verify that the rental cost calculation correctly applies applicable taxes to the base rental cost.,R62,Rental cost calculation rule,,Rental cost calculation rule,Rental cost calculation rule,NO_EVIDENCE,"Generate 10 executable Gherkin test cases for the rental cost calculation rule requirement. Since the requirement body only contains the title ""Rental cost calculation rule"" without specific details, the test cases will cover common rental cost calculation scenarios including base rate calculations, duration-based pricing, discounts, taxes, and edge cases.",,,,,,,0,0,0,0
3e1802ce,R62,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R62_5,Calculate rental cost with promotional code discount,"Feature: Rental Cost Calculation
  Scenario: Calculate cost with promotional code discount
    Given a rental item with daily rate of $50
    And a promotional code that provides 15% discount
    When the rental duration is 3 days
    Then the total rental cost should be $127.50",Test case to verify that the rental cost calculation correctly applies promotional code discounts to the rental cost.,R62,Rental cost calculation rule,,Rental cost calculation rule,Rental cost calculation rule,NO_EVIDENCE,"Generate 10 executable Gherkin test cases for the rental cost calculation rule requirement. Since the requirement body only contains the title ""Rental cost calculation rule"" without specific details, the test cases will cover common rental cost calculation scenarios including base rate calculations, duration-based pricing, discounts, taxes, and edge cases.",,,,,,,0,0,0,0
3e1802ce,R62,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R62_6,Calculate rental cost for zero days,"Feature: Rental Cost Calculation
  Scenario: Calculate cost for zero days rental
    Given a rental item with daily rate of $50
    When the rental duration is 0 days
    Then the total rental cost should be $0",Edge case test to verify that the rental cost calculation handles zero-day rentals correctly by returning zero cost.,R62,Rental cost calculation rule,,Rental cost calculation rule,Rental cost calculation rule,NO_EVIDENCE,"Generate 10 executable Gherkin test cases for the rental cost calculation rule requirement. Since the requirement body only contains the title ""Rental cost calculation rule"" without specific details, the test cases will cover common rental cost calculation scenarios including base rate calculations, duration-based pricing, discounts, taxes, and edge cases.",,,,,,,0,0,0,0
3e1802ce,R62,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R62_7,Calculate rental cost with minimum rental charge,"Feature: Rental Cost Calculation
  Scenario: Calculate cost with minimum rental charge
    Given a rental item with daily rate of $50
    And a minimum rental charge of $100
    When the rental duration is 1 day
    Then the total rental cost should be $100",Test case to verify that the rental cost calculation respects minimum rental charges and applies them when the calculated cost is below the minimum.,R62,Rental cost calculation rule,,Rental cost calculation rule,Rental cost calculation rule,NO_EVIDENCE,"Generate 10 executable Gherkin test cases for the rental cost calculation rule requirement. Since the requirement body only contains the title ""Rental cost calculation rule"" without specific details, the test cases will cover common rental cost calculation scenarios including base rate calculations, duration-based pricing, discounts, taxes, and edge cases.",,,,,,,0,0,0,0
3e1802ce,R62,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R62_8,Calculate rental cost with multiple discounts stacked,"Feature: Rental Cost Calculation
  Scenario: Calculate cost with multiple discounts applied
    Given a rental item with daily rate of $100
    And a loyalty discount of 5%
    And a promotional discount of 10%
    When the rental duration is 4 days
    Then the total rental cost should be $342",Test case to verify that the rental cost calculation correctly handles multiple discounts applied together to the rental cost.,R62,Rental cost calculation rule,,Rental cost calculation rule,Rental cost calculation rule,NO_EVIDENCE,"Generate 10 executable Gherkin test cases for the rental cost calculation rule requirement. Since the requirement body only contains the title ""Rental cost calculation rule"" without specific details, the test cases will cover common rental cost calculation scenarios including base rate calculations, duration-based pricing, discounts, taxes, and edge cases.",,,,,,,0,0,0,0
3e1802ce,R62,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R62_9,Calculate rental cost with hourly rate,"Feature: Rental Cost Calculation
  Scenario: Calculate cost with hourly rate
    Given a rental item with hourly rate of $10
    When the rental duration is 24 hours
    Then the total rental cost should be $240",Test case to verify that the rental cost calculation supports hourly rate-based pricing in addition to daily rates.,R62,Rental cost calculation rule,,Rental cost calculation rule,Rental cost calculation rule,NO_EVIDENCE,"Generate 10 executable Gherkin test cases for the rental cost calculation rule requirement. Since the requirement body only contains the title ""Rental cost calculation rule"" without specific details, the test cases will cover common rental cost calculation scenarios including base rate calculations, duration-based pricing, discounts, taxes, and edge cases.",,,,,,,0,0,0,0
3e1802ce,R62,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R62_10,Calculate rental cost with late return fee,"Feature: Rental Cost Calculation
  Scenario: Calculate cost with late return fee
    Given a rental item with daily rate of $50
    And a late return fee of $25 per day
    When the rental duration is 3 days and returned 2 days late
    Then the total rental cost should be $200",Test case to verify that the rental cost calculation correctly adds late return fees to the total rental cost when applicable.,R62,Rental cost calculation rule,,Rental cost calculation rule,Rental cost calculation rule,NO_EVIDENCE,"Generate 10 executable Gherkin test cases for the rental cost calculation rule requirement. Since the requirement body only contains the title ""Rental cost calculation rule"" without specific details, the test cases will cover common rental cost calculation scenarios including base rate calculations, duration-based pricing, discounts, taxes, and edge cases.",,,,,,,0,0,0,0
