runId,reqId,mode,pipeline,provider,model,repeatIndex,promptVersion,testId,title,gherkin,rationale,usedSourceIds,usedContextItems,evidenceSources,targetTitle,targetBody,evidenceText,generationSummary,resolvedOperativeContext,resolvedExceptions,resolvedConflictsOrObsolete,resolvedGapsOrUncertainties,resolvedEvidenceIds,resolutionNotes,injectedOperativeCount,injectedExceptionsCount,injectedConflictsCount,injectedGapsCount
8888396d,R93c,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R93c_1,Customer is eligible for loyalty program when account is active,"Feature: Loyalty Eligibility Condition Rule
  Scenario: Active customer account qualifies for loyalty program
    Given a customer with an active account
    When the loyalty eligibility check is performed
    Then the customer should be marked as eligible for the loyalty program",Verifies that active customer accounts meet the basic eligibility condition for loyalty program enrollment.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"Generate 10 Gherkin test cases for loyalty eligibility condition rule (R93c). Since the requirement body only states ""Loyalty eligibility condition rule"" without specific details, test cases will cover common loyalty program eligibility scenarios including customer status verification, account activation, membership tier requirements, and eligibility determination logic.",,,,,,,0,0,0,0
8888396d,R93c,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R93c_2,Customer is not eligible for loyalty program when account is inactive,"Feature: Loyalty Eligibility Condition Rule
  Scenario: Inactive customer account does not qualify for loyalty program
    Given a customer with an inactive account
    When the loyalty eligibility check is performed
    Then the customer should not be marked as eligible for the loyalty program",Ensures that inactive accounts are excluded from loyalty program eligibility.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"Generate 10 Gherkin test cases for loyalty eligibility condition rule (R93c). Since the requirement body only states ""Loyalty eligibility condition rule"" without specific details, test cases will cover common loyalty program eligibility scenarios including customer status verification, account activation, membership tier requirements, and eligibility determination logic.",,,,,,,0,0,0,0
8888396d,R93c,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R93c_3,Customer is eligible for loyalty program when minimum account age is met,"Feature: Loyalty Eligibility Condition Rule
  Scenario: Customer account meets minimum age requirement
    Given a customer account created more than 30 days ago
    When the loyalty eligibility check is performed
    Then the customer should be marked as eligible for the loyalty program",Validates that accounts meeting minimum age requirements satisfy loyalty eligibility conditions.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"Generate 10 Gherkin test cases for loyalty eligibility condition rule (R93c). Since the requirement body only states ""Loyalty eligibility condition rule"" without specific details, test cases will cover common loyalty program eligibility scenarios including customer status verification, account activation, membership tier requirements, and eligibility determination logic.",,,,,,,0,0,0,0
8888396d,R93c,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R93c_4,Customer is not eligible for loyalty program when account is too new,"Feature: Loyalty Eligibility Condition Rule
  Scenario: Customer account does not meet minimum age requirement
    Given a customer account created less than 30 days ago
    When the loyalty eligibility check is performed
    Then the customer should not be marked as eligible for the loyalty program",Ensures that newly created accounts do not immediately qualify for loyalty benefits.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"Generate 10 Gherkin test cases for loyalty eligibility condition rule (R93c). Since the requirement body only states ""Loyalty eligibility condition rule"" without specific details, test cases will cover common loyalty program eligibility scenarios including customer status verification, account activation, membership tier requirements, and eligibility determination logic.",,,,,,,0,0,0,0
8888396d,R93c,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R93c_5,Customer is eligible for loyalty program when account status is verified,"Feature: Loyalty Eligibility Condition Rule
  Scenario: Customer with verified account status qualifies for loyalty
    Given a customer with a verified account status
    When the loyalty eligibility check is performed
    Then the customer should be marked as eligible for the loyalty program",Confirms that account verification is a valid eligibility condition for loyalty program participation.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"Generate 10 Gherkin test cases for loyalty eligibility condition rule (R93c). Since the requirement body only states ""Loyalty eligibility condition rule"" without specific details, test cases will cover common loyalty program eligibility scenarios including customer status verification, account activation, membership tier requirements, and eligibility determination logic.",,,,,,,0,0,0,0
8888396d,R93c,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R93c_6,Customer is not eligible for loyalty program when account is suspended,"Feature: Loyalty Eligibility Condition Rule
  Scenario: Suspended customer account does not qualify for loyalty program
    Given a customer with a suspended account
    When the loyalty eligibility check is performed
    Then the customer should not be marked as eligible for the loyalty program",Validates that suspended accounts are excluded from loyalty program eligibility.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"Generate 10 Gherkin test cases for loyalty eligibility condition rule (R93c). Since the requirement body only states ""Loyalty eligibility condition rule"" without specific details, test cases will cover common loyalty program eligibility scenarios including customer status verification, account activation, membership tier requirements, and eligibility determination logic.",,,,,,,0,0,0,0
8888396d,R93c,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R93c_7,Customer is eligible for loyalty program when no outstanding violations exist,"Feature: Loyalty Eligibility Condition Rule
  Scenario: Customer with clean account history qualifies for loyalty
    Given a customer with no outstanding account violations
    When the loyalty eligibility check is performed
    Then the customer should be marked as eligible for the loyalty program",Ensures that customers with clean account records meet loyalty eligibility conditions.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"Generate 10 Gherkin test cases for loyalty eligibility condition rule (R93c). Since the requirement body only states ""Loyalty eligibility condition rule"" without specific details, test cases will cover common loyalty program eligibility scenarios including customer status verification, account activation, membership tier requirements, and eligibility determination logic.",,,,,,,0,0,0,0
8888396d,R93c,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R93c_8,Customer is not eligible for loyalty program when account has violations,"Feature: Loyalty Eligibility Condition Rule
  Scenario: Customer with account violations does not qualify for loyalty
    Given a customer with outstanding account violations
    When the loyalty eligibility check is performed
    Then the customer should not be marked as eligible for the loyalty program",Validates that accounts with violations are excluded from loyalty program eligibility.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"Generate 10 Gherkin test cases for loyalty eligibility condition rule (R93c). Since the requirement body only states ""Loyalty eligibility condition rule"" without specific details, test cases will cover common loyalty program eligibility scenarios including customer status verification, account activation, membership tier requirements, and eligibility determination logic.",,,,,,,0,0,0,0
8888396d,R93c,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R93c_9,Customer eligibility status is re-evaluated when account conditions change,"Feature: Loyalty Eligibility Condition Rule
  Scenario: Eligibility status updates when account conditions change
    Given a customer who was previously ineligible for loyalty
    When the customer's account status changes to active and verified
    Then the customer should be re-evaluated and marked as eligible for the loyalty program",Ensures that loyalty eligibility is dynamically re-evaluated when account conditions change.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"Generate 10 Gherkin test cases for loyalty eligibility condition rule (R93c). Since the requirement body only states ""Loyalty eligibility condition rule"" without specific details, test cases will cover common loyalty program eligibility scenarios including customer status verification, account activation, membership tier requirements, and eligibility determination logic.",,,,,,,0,0,0,0
8888396d,R93c,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R93c_10,Loyalty eligibility check returns consistent results for same conditions,"Feature: Loyalty Eligibility Condition Rule
  Scenario: Eligibility check produces consistent results
    Given a customer with specific account conditions
    When the loyalty eligibility check is performed multiple times
    Then the eligibility result should be consistent across all checks",Validates that the loyalty eligibility condition rule produces deterministic and consistent results.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"Generate 10 Gherkin test cases for loyalty eligibility condition rule (R93c). Since the requirement body only states ""Loyalty eligibility condition rule"" without specific details, test cases will cover common loyalty program eligibility scenarios including customer status verification, account activation, membership tier requirements, and eligibility determination logic.",,,,,,,0,0,0,0
