reqId,testId,mode,pipeline,model,repeatIndex,divergence,support_score,evidence_grounding,gherkin,reasoning
R5,R5_6,vector,full,gpt-4o-mini,0,4.14,1.0,1,"Given a user activates their account
When the activation is successful
Then the system should send a confirmation of account status update","The target requirement is 'Activation link security', but the test focuses on a post-activation notification that is not explicitly grounded in the evidence. It fails to address any security-related aspects of the activation link."
R50,R50_1,vector,full,gpt-4o-mini,0,4.14,1.0,1,"Feature: Availability Status
  Scenario: Availability status reflects current lifecycle state
    Given a rent record is in the 'Active' state
    When the system checks the availability status
    Then the availability status should be 'Available'","The test correctly targets the requirement of availability state semantics. However, the assertion that an 'Active' rent record results in an 'Available' status is fundamentally incorrect according to evidence [5.4.1.2]."
R79b,R79b_3,graph,full,gpt-4o-mini,0,4.14,1.0,1,"Feature: Identifier consistency in reporting
  Scenario: Verify identifiers in billing records are consistent
    Given the system has billing records with identifiers
    When a user views the billing records
    Then the identifiers must be consistent with the identifiers in the reporting system","The test is too generic, missing critical details from the evidence regarding multiple identifier types, historical data, and source-of-truth conflicts. It only covers a trivial happy path, ignoring the complex fragmentation."
R71b,R71b_9,graph,full,gpt-4o-mini,0,4.14,1.0,1,"Given I am an authorized user
When I generate a rent report
Then the report data should accurately reflect the rental records in the system","The test is a naive happy path, completely ignoring critical fragmentation regarding identifier consistency, historical data representation, financial discrepancies, and rounding issues. It lacks any concrete details from the extensive evidence provided."
R44,R44_4,hybrid,full,gpt-4o-mini,0,4.14,1.0,1,"Feature: Real-time availability update
  Scenario: Completing a rent record
    Given a rental item is currently rented
    When the rent record is completed
    Then the system should update the availability status to 'Available' immediately","The test aligns with the requirement's intent but fails to incorporate critical lifecycle rules from the evidence, specifically the 'Maintenance' status and dynamic duration after rent completion. This makes the expected outcome incorrect and the coverage very poor."
R5,R5_3,graph,full,gpt-4o-mini,0,4.14,1.0,1,"Given a user has activated their account using a valid activation link
When the activation is successful
Then a confirmation email should be sent to the user","The test's 'Then' step is not grounded in the provided evidence, which only mentions sending an initial activation email. It fails to address the core 'Activation link security' aspect of the requirement, ignoring critical details like token expiry and cryptographic security."
R81b,R81b_3,hybrid,full,gpt-4o-mini,0,4.14,1.0,1,"Feature: Readability of audit logs
  Scenario: Audit logs are formatted in a human-readable way
    Given the system has generated audit logs
    When an administrator reviews the audit logs
    Then the format of the audit logs should be human-readable","The test is too generic and assumes raw logs are directly human-readable, which contradicts the evidence. The evidence explicitly states that raw logs use privacy-preserving identifiers and require a controlled lookup path for human readability by non-technical auditors."
R79b,R79b_1,vector,full,gpt-4o-mini,0,4.14,1.0,1,"Feature: Identifier consistency in reporting
  Scenario: All rent records have consistent identifiers
    Given I have a set of rent records
    When I check the identifiers in the records
    Then all identifiers should be consistent across the records","The test's assumption of a single, consistent identifier model directly contradicts the extensive evidence highlighting multiple identifier types and the need to define a source of truth for reporting. It is too generic and lacks the specificity required to test the complex reality of identifier consistency in a fragmented system."
R80,R80_3,hybrid,full,gpt-4o-mini,0,4.14,1.0,1,"Feature: Authoritative monetary source consistency
  Scenario: Consistent financial outputs in billing records
    Given the authoritative monetary source is confirmed
    When reviewing billing records
    Then the billing records should reflect the authoritative monetary source accurately","The test is a generic rephrasing of the requirement, completely missing the specific consistency challenges, calculation nuances, and multi-context issues detailed in the evidence. It lacks concrete, executable steps."
R72b,R72b_2,hybrid,full,gpt-4o-mini,0,4.14,1.0,1,"Feature: Financial report accuracy
  Scenario: Financial report accuracy for audits
    Given a financial report is generated
    When the report is reviewed for audit
    Then the report must be accurate and align with the expected financial outputs","The test is a high-level restatement of the requirement, completely missing the specific accuracy challenges, gaps, and conflicts detailed in the evidence. It is not executable due to abstract steps and lacks any concrete parameters for verification."
