runId,reqId,mode,pipeline,provider,model,repeatIndex,promptVersion,testId,title,gherkin,rationale,usedSourceIds,usedContextItems,evidenceSources,targetTitle,targetBody,evidenceText,generationSummary,resolvedOperativeContext,resolvedExceptions,resolvedConflictsOrObsolete,resolvedGapsOrUncertainties,resolvedEvidenceIds,resolutionNotes,injectedOperativeCount,injectedExceptionsCount,injectedConflictsCount,injectedGapsCount
b248f280,R102d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R102d_1,Define Penalty Lateness Threshold,"Given the penalty lateness threshold is set to 10 minutes
When a task is completed 15 minutes late
Then a penalty should be applied",To verify that the system applies a penalty when lateness exceeds the defined threshold.,R102d,Penalty lateness threshold definition,,Penalty lateness threshold definition,Penalty lateness threshold definition,NO_EVIDENCE,"This document defines test cases for the penalty lateness threshold requirement, ensuring that the system correctly interprets and applies the defined threshold for penalties related to lateness.",,,,,,,0,0,0,0
b248f280,R102d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R102d_2,No Penalty for On-Time Completion,"Given the penalty lateness threshold is set to 10 minutes
When a task is completed on time
Then no penalty should be applied",To ensure that tasks completed on time do not incur penalties.,R102d,Penalty lateness threshold definition,,Penalty lateness threshold definition,Penalty lateness threshold definition,NO_EVIDENCE,"This document defines test cases for the penalty lateness threshold requirement, ensuring that the system correctly interprets and applies the defined threshold for penalties related to lateness.",,,,,,,0,0,0,0
b248f280,R102d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R102d_3,Penalty for Lateness Just Below Threshold,"Given the penalty lateness threshold is set to 10 minutes
When a task is completed 9 minutes late
Then no penalty should be applied",To confirm that lateness just below the threshold does not incur a penalty.,R102d,Penalty lateness threshold definition,,Penalty lateness threshold definition,Penalty lateness threshold definition,NO_EVIDENCE,"This document defines test cases for the penalty lateness threshold requirement, ensuring that the system correctly interprets and applies the defined threshold for penalties related to lateness.",,,,,,,0,0,0,0
b248f280,R102d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R102d_4,Penalty for Lateness Exactly at Threshold,"Given the penalty lateness threshold is set to 10 minutes
When a task is completed exactly 10 minutes late
Then a penalty should be applied",To check that the system applies a penalty when lateness is exactly at the threshold.,R102d,Penalty lateness threshold definition,,Penalty lateness threshold definition,Penalty lateness threshold definition,NO_EVIDENCE,"This document defines test cases for the penalty lateness threshold requirement, ensuring that the system correctly interprets and applies the defined threshold for penalties related to lateness.",,,,,,,0,0,0,0
b248f280,R102d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R102d_5,Multiple Tasks with Varying Lateness,"Given the penalty lateness threshold is set to 10 minutes
When multiple tasks are completed with lateness of 5, 10, and 15 minutes
Then penalties should be applied only to the task completed 15 minutes late",To ensure the system correctly applies penalties based on varying lateness across multiple tasks.,R102d,Penalty lateness threshold definition,,Penalty lateness threshold definition,Penalty lateness threshold definition,NO_EVIDENCE,"This document defines test cases for the penalty lateness threshold requirement, ensuring that the system correctly interprets and applies the defined threshold for penalties related to lateness.",,,,,,,0,0,0,0
b248f280,R102d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R102d_6,Threshold Change Impact on Penalties,"Given the penalty lateness threshold is set to 10 minutes
When the threshold is changed to 15 minutes
And a task is completed 12 minutes late
Then a penalty should be applied",To verify that changing the threshold affects penalty application correctly.,R102d,Penalty lateness threshold definition,,Penalty lateness threshold definition,Penalty lateness threshold definition,NO_EVIDENCE,"This document defines test cases for the penalty lateness threshold requirement, ensuring that the system correctly interprets and applies the defined threshold for penalties related to lateness.",,,,,,,0,0,0,0
b248f280,R102d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R102d_7,Threshold Change with No Impact,"Given the penalty lateness threshold is set to 10 minutes
When the threshold is changed to 5 minutes
And a task is completed 3 minutes late
Then no penalty should be applied",To ensure that a lower threshold does not incorrectly apply penalties for minor lateness.,R102d,Penalty lateness threshold definition,,Penalty lateness threshold definition,Penalty lateness threshold definition,NO_EVIDENCE,"This document defines test cases for the penalty lateness threshold requirement, ensuring that the system correctly interprets and applies the defined threshold for penalties related to lateness.",,,,,,,0,0,0,0
b248f280,R102d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R102d_8,System Response to Invalid Threshold,"Given the penalty lateness threshold is set to 10 minutes
When an invalid threshold is set (e.g., -5 minutes)
Then the system should return an error message",To confirm that the system handles invalid threshold values appropriately.,R102d,Penalty lateness threshold definition,,Penalty lateness threshold definition,Penalty lateness threshold definition,NO_EVIDENCE,"This document defines test cases for the penalty lateness threshold requirement, ensuring that the system correctly interprets and applies the defined threshold for penalties related to lateness.",,,,,,,0,0,0,0
b248f280,R102d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R102d_9,Threshold Persistence Across Sessions,"Given the penalty lateness threshold is set to 10 minutes
When the system is restarted
Then the penalty lateness threshold should remain set to 10 minutes",To ensure that the threshold setting persists across system sessions.,R102d,Penalty lateness threshold definition,,Penalty lateness threshold definition,Penalty lateness threshold definition,NO_EVIDENCE,"This document defines test cases for the penalty lateness threshold requirement, ensuring that the system correctly interprets and applies the defined threshold for penalties related to lateness.",,,,,,,0,0,0,0
b248f280,R102d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R102d_10,User Notification of Penalty Application,"Given the penalty lateness threshold is set to 10 minutes
When a task is completed 15 minutes late
Then the user should be notified of the penalty applied",To verify that users are informed when a penalty is applied due to lateness.,R102d,Penalty lateness threshold definition,,Penalty lateness threshold definition,Penalty lateness threshold definition,NO_EVIDENCE,"This document defines test cases for the penalty lateness threshold requirement, ensuring that the system correctly interprets and applies the defined threshold for penalties related to lateness.",,,,,,,0,0,0,0
