status,model_group,reqId,mode,pipeline,repeatIndex,expected_n,actual_n,missing_n,files,rerun_command_full,rerun_command_missing_only
UNDERFILLED,Claude,R81c,vector,full,0,10,1,9,runs_haiku\b5e56a6b_R81c_anthropic-claude-haiku-4-5_vector_full_r0.csv,python .\03c_run_experiment_claude.py --target-id R81c --mode vector --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs_haiku,python .\03c_run_experiment_claude.py --target-id R81c --mode vector --pipeline full --repeat-index 0 --num-tests 9 --out-dir runs_haiku
UNDERFILLED,GPT,R2,graph,full,0,10,5,5,runs\71e57a6b_R2_openai-gpt-4o-mini_graph_full_r0.csv,python .\03_run_experiment.py --target-id R2 --mode graph --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R2 --mode graph --pipeline full --repeat-index 0 --num-tests 5 --out-dir runs
UNDERFILLED,GPT,R22,graph,full,0,10,8,2,runs\f60f2653_R22_openai-gpt-4o-mini_graph_full_r0.csv,python .\03_run_experiment.py --target-id R22 --mode graph --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R22 --mode graph --pipeline full --repeat-index 0 --num-tests 2 --out-dir runs
UNDERFILLED,GPT,R41,graph,full,0,10,8,2,runs\d2728816_R41_openai-gpt-4o-mini_graph_full_r0.csv,python .\03_run_experiment.py --target-id R41 --mode graph --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R41 --mode graph --pipeline full --repeat-index 0 --num-tests 2 --out-dir runs
UNDERFILLED,GPT,R49,graph,full,0,10,9,1,runs\7f016f15_R49_openai-gpt-4o-mini_graph_full_r0.csv,python .\03_run_experiment.py --target-id R49 --mode graph --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R49 --mode graph --pipeline full --repeat-index 0 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R61,graph,full,0,10,9,1,runs\bc637603_R61_openai-gpt-4o-mini_graph_full_r0.csv,python .\03_run_experiment.py --target-id R61 --mode graph --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R61 --mode graph --pipeline full --repeat-index 0 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R103d,graph,full,1,10,7,3,runs\bed7a6f3_R103d_openai-gpt-4o-mini_graph_full_r1.csv,python .\03_run_experiment.py --target-id R103d --mode graph --pipeline full --repeat-index 1 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R103d --mode graph --pipeline full --repeat-index 1 --num-tests 3 --out-dir runs
UNDERFILLED,GPT,R21,graph,full,1,10,8,2,runs\30d425ee_R21_openai-gpt-4o-mini_graph_full_r1.csv,python .\03_run_experiment.py --target-id R21 --mode graph --pipeline full --repeat-index 1 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R21 --mode graph --pipeline full --repeat-index 1 --num-tests 2 --out-dir runs
UNDERFILLED,GPT,R38,graph,full,1,10,3,7,runs\6a8b8060_R38_openai-gpt-4o-mini_graph_full_r1.csv,python .\03_run_experiment.py --target-id R38 --mode graph --pipeline full --repeat-index 1 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R38 --mode graph --pipeline full --repeat-index 1 --num-tests 7 --out-dir runs
UNDERFILLED,GPT,R49,graph,full,1,10,8,2,runs\ebdf28f0_R49_openai-gpt-4o-mini_graph_full_r1.csv,python .\03_run_experiment.py --target-id R49 --mode graph --pipeline full --repeat-index 1 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R49 --mode graph --pipeline full --repeat-index 1 --num-tests 2 --out-dir runs
UNDERFILLED,GPT,R103d,graph,full,2,10,7,3,runs\d0b7fd29_R103d_openai-gpt-4o-mini_graph_full_r2.csv,python .\03_run_experiment.py --target-id R103d --mode graph --pipeline full --repeat-index 2 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R103d --mode graph --pipeline full --repeat-index 2 --num-tests 3 --out-dir runs
UNDERFILLED,GPT,R21,graph,full,2,10,8,2,runs\0940af79_R21_openai-gpt-4o-mini_graph_full_r2.csv,python .\03_run_experiment.py --target-id R21 --mode graph --pipeline full --repeat-index 2 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R21 --mode graph --pipeline full --repeat-index 2 --num-tests 2 --out-dir runs
UNDERFILLED,GPT,R22,graph,full,2,10,8,2,runs\ee0c3347_R22_openai-gpt-4o-mini_graph_full_r2.csv,python .\03_run_experiment.py --target-id R22 --mode graph --pipeline full --repeat-index 2 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R22 --mode graph --pipeline full --repeat-index 2 --num-tests 2 --out-dir runs
UNDERFILLED,GPT,R5,graph,full,2,10,9,1,runs\464f4fa6_R5_openai-gpt-4o-mini_graph_full_r2.csv,python .\03_run_experiment.py --target-id R5 --mode graph --pipeline full --repeat-index 2 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R5 --mode graph --pipeline full --repeat-index 2 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R93c,graph,full,2,10,9,1,runs\17fda9f2_R93c_openai-gpt-4o-mini_graph_full_r2.csv,python .\03_run_experiment.py --target-id R93c --mode graph --pipeline full --repeat-index 2 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R93c --mode graph --pipeline full --repeat-index 2 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R43,hybrid,full,0,10,2,8,runs\549e7d63_R43_openai-gpt-4o-mini_hybrid_full_r0.csv,python .\03_run_experiment.py --target-id R43 --mode hybrid --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R43 --mode hybrid --pipeline full --repeat-index 0 --num-tests 8 --out-dir runs
UNDERFILLED,GPT,R33,hybrid,full,1,10,9,1,runs\b3cd648a_R33_openai-gpt-4o-mini_hybrid_full_r1.csv,python .\03_run_experiment.py --target-id R33 --mode hybrid --pipeline full --repeat-index 1 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R33 --mode hybrid --pipeline full --repeat-index 1 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R93c,hybrid,full,1,10,9,1,runs\729aad1a_R93c_openai-gpt-4o-mini_hybrid_full_r1.csv,python .\03_run_experiment.py --target-id R93c --mode hybrid --pipeline full --repeat-index 1 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R93c --mode hybrid --pipeline full --repeat-index 1 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R39,hybrid,full,2,10,6,4,runs\2cd819fa_R39_openai-gpt-4o-mini_hybrid_full_r2.csv,python .\03_run_experiment.py --target-id R39 --mode hybrid --pipeline full --repeat-index 2 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R39 --mode hybrid --pipeline full --repeat-index 2 --num-tests 4 --out-dir runs
UNDERFILLED,GPT,R22,hybrid,no_resolution,0,10,9,1,runs\93919ecb_R22_openai-gpt-4o-mini_hybrid_no_resolution_r0.csv,python .\03_run_experiment.py --target-id R22 --mode hybrid --pipeline no_resolution --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R22 --mode hybrid --pipeline no_resolution --repeat-index 0 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R91d,hybrid,no_resolution,0,10,9,1,runs\67f80ce7_R91d_openai-gpt-4o-mini_hybrid_no_resolution_r0.csv,python .\03_run_experiment.py --target-id R91d --mode hybrid --pipeline no_resolution --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R91d --mode hybrid --pipeline no_resolution --repeat-index 0 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R21,vector,full,0,10,6,4,runs\b0ba67d7_R21_openai-gpt-4o-mini_vector_full_r0.csv,python .\03_run_experiment.py --target-id R21 --mode vector --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R21 --mode vector --pipeline full --repeat-index 0 --num-tests 4 --out-dir runs
UNDERFILLED,GPT,R22,vector,full,0,10,9,1,runs\ca9b0b41_R22_openai-gpt-4o-mini_vector_full_r0.csv,python .\03_run_experiment.py --target-id R22 --mode vector --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R22 --mode vector --pipeline full --repeat-index 0 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R25,vector,full,0,10,2,8,runs\e7f4d913_R25_openai-gpt-4o-mini_vector_full_r0.csv,python .\03_run_experiment.py --target-id R25 --mode vector --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R25 --mode vector --pipeline full --repeat-index 0 --num-tests 8 --out-dir runs
UNDERFILLED,GPT,R41,vector,full,0,10,8,2,runs\e9fd4e9c_R41_openai-gpt-4o-mini_vector_full_r0.csv,python .\03_run_experiment.py --target-id R41 --mode vector --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R41 --mode vector --pipeline full --repeat-index 0 --num-tests 2 --out-dir runs
UNDERFILLED,GPT,R49,vector,full,0,10,9,1,runs\3b1d89e6_R49_openai-gpt-4o-mini_vector_full_r0.csv,python .\03_run_experiment.py --target-id R49 --mode vector --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R49 --mode vector --pipeline full --repeat-index 0 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R71,vector,full,0,10,5,5,runs\89524b0a_R71_openai-gpt-4o-mini_vector_full_r0.csv,python .\03_run_experiment.py --target-id R71 --mode vector --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R71 --mode vector --pipeline full --repeat-index 0 --num-tests 5 --out-dir runs
UNDERFILLED,GPT,R71b,vector,full,0,10,5,5,runs\c1a85d56_R71b_openai-gpt-4o-mini_vector_full_r0.csv,python .\03_run_experiment.py --target-id R71b --mode vector --pipeline full --repeat-index 0 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R71b --mode vector --pipeline full --repeat-index 0 --num-tests 5 --out-dir runs
UNDERFILLED,GPT,R21,vector,full,1,10,6,4,runs\df85a312_R21_openai-gpt-4o-mini_vector_full_r1.csv,python .\03_run_experiment.py --target-id R21 --mode vector --pipeline full --repeat-index 1 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R21 --mode vector --pipeline full --repeat-index 1 --num-tests 4 --out-dir runs
UNDERFILLED,GPT,R25,vector,full,1,10,2,8,runs\ff9895b6_R25_openai-gpt-4o-mini_vector_full_r1.csv,python .\03_run_experiment.py --target-id R25 --mode vector --pipeline full --repeat-index 1 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R25 --mode vector --pipeline full --repeat-index 1 --num-tests 8 --out-dir runs
UNDERFILLED,GPT,R49,vector,full,1,10,9,1,runs\e4c003e3_R49_openai-gpt-4o-mini_vector_full_r1.csv,python .\03_run_experiment.py --target-id R49 --mode vector --pipeline full --repeat-index 1 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R49 --mode vector --pipeline full --repeat-index 1 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R71b,vector,full,1,10,5,5,runs\95b18de9_R71b_openai-gpt-4o-mini_vector_full_r1.csv,python .\03_run_experiment.py --target-id R71b --mode vector --pipeline full --repeat-index 1 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R71b --mode vector --pipeline full --repeat-index 1 --num-tests 5 --out-dir runs
UNDERFILLED,GPT,R21,vector,full,2,10,6,4,runs\00002915_R21_openai-gpt-4o-mini_vector_full_r2.csv,python .\03_run_experiment.py --target-id R21 --mode vector --pipeline full --repeat-index 2 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R21 --mode vector --pipeline full --repeat-index 2 --num-tests 4 --out-dir runs
UNDERFILLED,GPT,R22,vector,full,2,10,5,5,runs\d009b2c6_R22_openai-gpt-4o-mini_vector_full_r2.csv,python .\03_run_experiment.py --target-id R22 --mode vector --pipeline full --repeat-index 2 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R22 --mode vector --pipeline full --repeat-index 2 --num-tests 5 --out-dir runs
UNDERFILLED,GPT,R25,vector,full,2,10,2,8,runs\f8a8aed5_R25_openai-gpt-4o-mini_vector_full_r2.csv,python .\03_run_experiment.py --target-id R25 --mode vector --pipeline full --repeat-index 2 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R25 --mode vector --pipeline full --repeat-index 2 --num-tests 8 --out-dir runs
UNDERFILLED,GPT,R49,vector,full,2,10,9,1,runs\89ce2958_R49_openai-gpt-4o-mini_vector_full_r2.csv,python .\03_run_experiment.py --target-id R49 --mode vector --pipeline full --repeat-index 2 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R49 --mode vector --pipeline full --repeat-index 2 --num-tests 1 --out-dir runs
UNDERFILLED,GPT,R71b,vector,full,2,10,5,5,runs\dd626028_R71b_openai-gpt-4o-mini_vector_full_r2.csv,python .\03_run_experiment.py --target-id R71b --mode vector --pipeline full --repeat-index 2 --num-tests 10 --out-dir runs,python .\03_run_experiment.py --target-id R71b --mode vector --pipeline full --repeat-index 2 --num-tests 5 --out-dir runs
