runId,reqId,mode,pipeline,provider,model,repeatIndex,promptVersion,testId,title,gherkin,rationale,usedSourceIds,usedContextItems,evidenceSources,targetTitle,targetBody,evidenceText,generationSummary,resolvedOperativeContext,resolvedExceptions,resolvedConflictsOrObsolete,resolvedGapsOrUncertainties,resolvedEvidenceIds,resolutionNotes,injectedOperativeCount,injectedExceptionsCount,injectedConflictsCount,injectedGapsCount
2617e5db,R3,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R3_1,Enforce minimum password length requirement,"Feature: Password Policy Enforcement - Minimum Length
  Scenario: Password with length below minimum should be rejected
    Given a password policy requires minimum 8 characters
    When a user attempts to set password ""Pass1""
    Then the password should be rejected
    And an error message should indicate minimum length requirement

  Scenario: Password with length meeting minimum should be accepted
    Given a password policy requires minimum 8 characters
    When a user attempts to set password ""Password123""
    Then the password should be accepted",Password policy enforcement must validate that passwords meet minimum length requirements to ensure adequate complexity and security.,R3,Password policy enforcement,,Password policy enforcement,Password policy enforcement,NO_EVIDENCE,"Password policy enforcement test suite covering validation of password requirements, policy compliance, and enforcement mechanisms during user authentication and password management operations.",,,,,,,0,0,0,0
2617e5db,R3,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R3_2,Enforce uppercase character requirement,"Feature: Password Policy Enforcement - Uppercase Characters
  Scenario: Password without uppercase letters should be rejected
    Given a password policy requires at least one uppercase letter
    When a user attempts to set password ""password123""
    Then the password should be rejected
    And an error message should indicate uppercase requirement

  Scenario: Password with uppercase letters should be accepted
    Given a password policy requires at least one uppercase letter
    When a user attempts to set password ""Password123""
    Then the password should be accepted",Password policy enforcement must validate that passwords contain uppercase characters to increase password complexity and security.,R3,Password policy enforcement,,Password policy enforcement,Password policy enforcement,NO_EVIDENCE,"Password policy enforcement test suite covering validation of password requirements, policy compliance, and enforcement mechanisms during user authentication and password management operations.",,,,,,,0,0,0,0
2617e5db,R3,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R3_3,Enforce lowercase character requirement,"Feature: Password Policy Enforcement - Lowercase Characters
  Scenario: Password without lowercase letters should be rejected
    Given a password policy requires at least one lowercase letter
    When a user attempts to set password ""PASSWORD123""
    Then the password should be rejected
    And an error message should indicate lowercase requirement

  Scenario: Password with lowercase letters should be accepted
    Given a password policy requires at least one lowercase letter
    When a user attempts to set password ""Password123""
    Then the password should be accepted",Password policy enforcement must validate that passwords contain lowercase characters to increase password complexity and security.,R3,Password policy enforcement,,Password policy enforcement,Password policy enforcement,NO_EVIDENCE,"Password policy enforcement test suite covering validation of password requirements, policy compliance, and enforcement mechanisms during user authentication and password management operations.",,,,,,,0,0,0,0
2617e5db,R3,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R3_4,Enforce numeric character requirement,"Feature: Password Policy Enforcement - Numeric Characters
  Scenario: Password without numeric characters should be rejected
    Given a password policy requires at least one numeric character
    When a user attempts to set password ""PasswordABC""
    Then the password should be rejected
    And an error message should indicate numeric requirement

  Scenario: Password with numeric characters should be accepted
    Given a password policy requires at least one numeric character
    When a user attempts to set password ""Password123""
    Then the password should be accepted",Password policy enforcement must validate that passwords contain numeric characters to increase password complexity and security.,R3,Password policy enforcement,,Password policy enforcement,Password policy enforcement,NO_EVIDENCE,"Password policy enforcement test suite covering validation of password requirements, policy compliance, and enforcement mechanisms during user authentication and password management operations.",,,,,,,0,0,0,0
2617e5db,R3,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R3_5,Enforce special character requirement,"Feature: Password Policy Enforcement - Special Characters
  Scenario: Password without special characters should be rejected
    Given a password policy requires at least one special character
    When a user attempts to set password ""Password123""
    Then the password should be rejected
    And an error message should indicate special character requirement

  Scenario: Password with special characters should be accepted
    Given a password policy requires at least one special character
    When a user attempts to set password ""Password123!""
    Then the password should be accepted",Password policy enforcement must validate that passwords contain special characters to increase password complexity and security.,R3,Password policy enforcement,,Password policy enforcement,Password policy enforcement,NO_EVIDENCE,"Password policy enforcement test suite covering validation of password requirements, policy compliance, and enforcement mechanisms during user authentication and password management operations.",,,,,,,0,0,0,0
2617e5db,R3,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R3_6,Prevent password reuse,"Feature: Password Policy Enforcement - Password Reuse Prevention
  Scenario: User should not be able to reuse previous password
    Given a user has previously used password ""OldPassword123!""
    When the user attempts to set password ""OldPassword123!""
    Then the password should be rejected
    And an error message should indicate password reuse is not allowed

  Scenario: User should be able to use a new password
    Given a user has previously used password ""OldPassword123!""
    When the user attempts to set password ""NewPassword456!""
    Then the password should be accepted",Password policy enforcement must prevent users from reusing previous passwords to maintain security and prevent credential compromise.,R3,Password policy enforcement,,Password policy enforcement,Password policy enforcement,NO_EVIDENCE,"Password policy enforcement test suite covering validation of password requirements, policy compliance, and enforcement mechanisms during user authentication and password management operations.",,,,,,,0,0,0,0
2617e5db,R3,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R3_7,Enforce password expiration policy,"Feature: Password Policy Enforcement - Password Expiration
  Scenario: User with expired password should be prompted to change it
    Given a password policy requires password change every 90 days
    And a user's password was last changed 91 days ago
    When the user attempts to log in
    Then the user should be prompted to change their password

  Scenario: User with valid password should be allowed to log in
    Given a password policy requires password change every 90 days
    And a user's password was last changed 30 days ago
    When the user attempts to log in
    Then the user should be allowed to proceed",Password policy enforcement must enforce password expiration to ensure users regularly update their credentials and reduce the risk of compromised passwords.,R3,Password policy enforcement,,Password policy enforcement,Password policy enforcement,NO_EVIDENCE,"Password policy enforcement test suite covering validation of password requirements, policy compliance, and enforcement mechanisms during user authentication and password management operations.",,,,,,,0,0,0,0
2617e5db,R3,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R3_8,Prevent common password usage,"Feature: Password Policy Enforcement - Common Password Prevention
  Scenario: User should not be able to use a common password
    Given a password policy prevents use of common passwords
    When a user attempts to set password ""Password123""
    Then the password should be rejected
    And an error message should indicate the password is too common

  Scenario: User should be able to use a non-common password
    Given a password policy prevents use of common passwords
    When a user attempts to set password ""Xk9@mP2$vL""
    Then the password should be accepted",Password policy enforcement must prevent users from using commonly known or easily guessable passwords to reduce vulnerability to dictionary attacks.,R3,Password policy enforcement,,Password policy enforcement,Password policy enforcement,NO_EVIDENCE,"Password policy enforcement test suite covering validation of password requirements, policy compliance, and enforcement mechanisms during user authentication and password management operations.",,,,,,,0,0,0,0
2617e5db,R3,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R3_9,Enforce password change on first login,"Feature: Password Policy Enforcement - First Login Password Change
  Scenario: New user should be required to change temporary password on first login
    Given a new user is created with a temporary password
    When the user logs in for the first time
    Then the user should be required to change their password
    And the user should not be able to proceed until password is changed

  Scenario: Existing user should not be required to change password on login
    Given an existing user with a permanent password
    When the user logs in
    Then the user should not be required to change their password","Password policy enforcement must require new users to change temporary passwords on first login to ensure they have a secure, unique password.",R3,Password policy enforcement,,Password policy enforcement,Password policy enforcement,NO_EVIDENCE,"Password policy enforcement test suite covering validation of password requirements, policy compliance, and enforcement mechanisms during user authentication and password management operations.",,,,,,,0,0,0,0
2617e5db,R3,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R3_10,Validate password policy compliance across all authentication scenarios,"Feature: Password Policy Enforcement - Comprehensive Compliance
  Scenario: All password policy rules should be enforced during password creation
    Given a password policy with multiple requirements:
      | requirement | value |
      | minimum_length | 8 |
      | uppercase | required |
      | lowercase | required |
      | numeric | required |
      | special_character | required |
    When a user attempts to set password ""Pass123""
    Then the password should be rejected
    And an error message should list all unmet requirements

  Scenario: Password meeting all policy requirements should be accepted
    Given a password policy with multiple requirements:
      | requirement | value |
      | minimum_length | 8 |
      | uppercase | required |
      | lowercase | required |
      | numeric | required |
      | special_character | required |
    When a user attempts to set password ""SecurePass123!""
    Then the password should be accepted",Password policy enforcement must comprehensively validate all configured policy rules to ensure consistent security across the system.,R3,Password policy enforcement,,Password policy enforcement,Password policy enforcement,NO_EVIDENCE,"Password policy enforcement test suite covering validation of password requirements, policy compliance, and enforcement mechanisms during user authentication and password management operations.",,,,,,,0,0,0,0
