runId,reqId,mode,pipeline,provider,model,repeatIndex,promptVersion,testId,title,gherkin,rationale,usedSourceIds,usedContextItems,evidenceSources,targetTitle,targetBody,evidenceText,generationSummary,resolvedOperativeContext,resolvedExceptions,resolvedConflictsOrObsolete,resolvedGapsOrUncertainties,resolvedEvidenceIds,resolutionNotes,injectedOperativeCount,injectedExceptionsCount,injectedConflictsCount,injectedGapsCount
bcd82adf,R93c,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R93c_1,Verify eligibility for loyalty program with valid conditions,"Feature: Loyalty Eligibility
  Scenario: Customer meets all eligibility conditions
    Given a customer with a valid purchase history
    And the customer has spent over the required amount
    When the eligibility is checked
    Then the customer should be eligible for the loyalty program",To ensure that customers who meet the defined conditions are correctly identified as eligible for the loyalty program.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty eligibility condition rule, ensuring that the conditions for customer loyalty eligibility are clearly defined and tested.",,,,,,,0,0,0,0
bcd82adf,R93c,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R93c_2,Verify ineligibility for loyalty program with insufficient spending,"Feature: Loyalty Eligibility
  Scenario: Customer does not meet spending requirement
    Given a customer with a valid purchase history
    And the customer has spent less than the required amount
    When the eligibility is checked
    Then the customer should not be eligible for the loyalty program",To confirm that customers who do not meet the spending requirement are not eligible for the loyalty program.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty eligibility condition rule, ensuring that the conditions for customer loyalty eligibility are clearly defined and tested.",,,,,,,0,0,0,0
bcd82adf,R93c,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R93c_3,Verify eligibility for loyalty program with invalid purchase history,"Feature: Loyalty Eligibility
  Scenario: Customer has an invalid purchase history
    Given a customer with an invalid purchase history
    When the eligibility is checked
    Then the customer should not be eligible for the loyalty program",To ensure that customers with invalid purchase histories are correctly identified as ineligible.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty eligibility condition rule, ensuring that the conditions for customer loyalty eligibility are clearly defined and tested.",,,,,,,0,0,0,0
bcd82adf,R93c,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R93c_4,Verify eligibility for loyalty program with multiple purchases,"Feature: Loyalty Eligibility
  Scenario: Customer meets eligibility with multiple purchases
    Given a customer with multiple valid purchases
    And the total spending exceeds the required amount
    When the eligibility is checked
    Then the customer should be eligible for the loyalty program",To validate that multiple purchases can contribute to eligibility for the loyalty program.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty eligibility condition rule, ensuring that the conditions for customer loyalty eligibility are clearly defined and tested.",,,,,,,0,0,0,0
bcd82adf,R93c,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R93c_5,Verify ineligibility for loyalty program with no purchases,"Feature: Loyalty Eligibility
  Scenario: Customer has no purchases
    Given a customer with no purchase history
    When the eligibility is checked
    Then the customer should not be eligible for the loyalty program",To ensure that customers without any purchases are not eligible for the loyalty program.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty eligibility condition rule, ensuring that the conditions for customer loyalty eligibility are clearly defined and tested.",,,,,,,0,0,0,0
bcd82adf,R93c,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R93c_6,Verify eligibility for loyalty program with promotional purchases,"Feature: Loyalty Eligibility
  Scenario: Customer meets eligibility with promotional purchases
    Given a customer with valid promotional purchases
    And the total spending exceeds the required amount
    When the eligibility is checked
    Then the customer should be eligible for the loyalty program",To confirm that promotional purchases count towards eligibility for the loyalty program.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty eligibility condition rule, ensuring that the conditions for customer loyalty eligibility are clearly defined and tested.",,,,,,,0,0,0,0
bcd82adf,R93c,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R93c_7,Verify ineligibility for loyalty program with expired purchases,"Feature: Loyalty Eligibility
  Scenario: Customer has expired purchases
    Given a customer with expired purchase history
    When the eligibility is checked
    Then the customer should not be eligible for the loyalty program",To ensure that expired purchases do not count towards eligibility for the loyalty program.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty eligibility condition rule, ensuring that the conditions for customer loyalty eligibility are clearly defined and tested.",,,,,,,0,0,0,0
bcd82adf,R93c,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R93c_8,Verify eligibility for loyalty program with recent purchases,"Feature: Loyalty Eligibility
  Scenario: Customer has recent valid purchases
    Given a customer with recent valid purchases
    And the total spending exceeds the required amount
    When the eligibility is checked
    Then the customer should be eligible for the loyalty program",To validate that recent purchases are considered for eligibility for the loyalty program.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty eligibility condition rule, ensuring that the conditions for customer loyalty eligibility are clearly defined and tested.",,,,,,,0,0,0,0
bcd82adf,R93c,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R93c_9,Verify ineligibility for loyalty program with fraudulent purchases,"Feature: Loyalty Eligibility
  Scenario: Customer has fraudulent purchases
    Given a customer with a purchase history that includes fraudulent transactions
    When the eligibility is checked
    Then the customer should not be eligible for the loyalty program",To ensure that fraudulent purchases disqualify a customer from eligibility for the loyalty program.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty eligibility condition rule, ensuring that the conditions for customer loyalty eligibility are clearly defined and tested.",,,,,,,0,0,0,0
bcd82adf,R93c,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R93c_10,Verify eligibility for loyalty program with gift card purchases,"Feature: Loyalty Eligibility
  Scenario: Customer meets eligibility with gift card purchases
    Given a customer with valid gift card purchases
    And the total spending exceeds the required amount
    When the eligibility is checked
    Then the customer should be eligible for the loyalty program",To confirm that gift card purchases count towards eligibility for the loyalty program.,R93c,Loyalty eligibility condition rule,,Loyalty eligibility condition rule,Loyalty eligibility condition rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty eligibility condition rule, ensuring that the conditions for customer loyalty eligibility are clearly defined and tested.",,,,,,,0,0,0,0
