sample_id,reqId,model,mode,testId,n_test_occurrences,element_type,element_text,evidence_window,full_evidence,window_is_fallback,anchor_terms_in_window,gherkin_test,matcher_verdict,human_verdict,notes
1,R93c,gpt-4o-mini,graph,R93c_1,18,local,Loyalty eligibility condition rule,"[1] source=R93c type=Requirement hops=0 rel=TARGET
Loyalty eligibility condition rule

[2] source=R93c type=Requirement/SrcChunk hops=0 chunk=cb19aeaad55d5a74 doc=JIRA-Rewards.md rel=TARGET
[
  {
    ""ticket_id"": ""JIRA-REW-901"",
    ""summary"": ""Loyalty Points Accrual Logic"",
    ""description"": ""Implement loyalty point accrual for completed and successfully settled rental activity, and ensure awarded points are applied to the user account according to the configurable reward policy."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
       ",False,False,4,"Feature: Loyalty Points Assignment
  Scenario: Assign loyalty points when rent status is completed and payment status is paid
    Given the rent status is ""Completed""
    And the payment status is ""Paid""
    When the system processes the loyalty points
    Then the user should receive loyalty points based on the completed rent",present_in_evidence,PRESENT_USABLE,
2,R81b,claude-haiku-4-5-20251001,hybrid,R81b_1,22,cross_module,User activity and audit logging,"favor a privacy-preserving identifier style that makes operational review harder for non-technical auditors. We need to confirm whether this is the intended audit model, or whether authorized reviewers should have access to a controlled identity-resolution path.

Third, exported reporting artifacts do not always appear to match the same underlying interpretation used elsewhere in the platform, which raises a broader question about which data representation should be treated as authoritative for audit purposes.

Please review and confirm the intended source-of-truth model for report generation, export, and audit visib

[3] source=R81b type=Requirement/SrcChunk hops=0 chunk=22d80e39745d1186 doc=JIRA-Reporting.md rel=TARGET
 truth to avoid mismatches between invoices and exported summaries.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-REP-703"",
    ""summary"": ""User Activity and Audit Logging"",
    ""description"": ""Implement user activity reporting and audit logging for critical system ev",False,False,3,"Feature: Human-readable audit identity
  Scenario: Audit log entry contains human-readable user identifier
    Given an authenticated administrator user
    And a critical system event has occurred
    When the administrator retrieves the audit log entry for that event
    Then the audit log entry shall include a human-readable user identifier
    And the identifier shall be interpretable without requiring additional lookup",present_in_evidence,PRESENT_USABLE,
3,R22,gpt-4o-mini,graph,R22_1,14,cross_module,Rent creation flow,"reject rent requests.
## 2.3.3 The system shall update the rent status to Approved when a rent request is approved.
## 2.3.4 The system shall update the rent status to Rejected when a rent request is rejected.
## 2.3.5 The system shall prevent unauthorized users from approving or rejecting rent requests.

## 2.4 Rent Activation
## 2.4.1 The system shall update the rent status to Active when the rental start date is reached.
## 2.4.2 The system shall allow authorized users to manually activate a rent.
## 2.4.3 The system shall prevent activation of rent records that are not in Approved status.

## 2.5 Rent Completion
## 2.5.1 The system shall update the rent status to Completed when the rental end date is reached.
## 2.5.2 The system shall allow authorized users to manually

[9] source=R26 type=Requirement hops=2 rel=IN_DOC > IN_DOC
Rent cancellation rules

[10] source=I21 type=Implementation hops=1 rel=AFFECTS
Rent creation flow

[11] source=I21 type=Implementation/SrcChunk hops=1 chun",False,False,3,"Feature: Rent Status Update
  Scenario: Update rent status to Active when rental start date is reached
    Given a rent record with a rental start date of today
    When the system processes the rent status
    Then the rent status should be updated to Active",present_in_evidence,PRESENT_USABLE,
4,R26,claude-haiku-4-5-20251001,vector,R26_1,20,cross_module,Lifecycle event notification coverage,"

## 4.4 Maintenance and Blocked Periods
## 4.4.1 The system shall allow authorized users to define maintenance periods for items.
## 4.4.2 The system shall prevent rent creation during maintenance periods.
## 4.4.3 The system shall mark items as unavailable during maintenance periods.
## 4.4.4 The system shall allow modification or removal of maintenance periods by authorized users.

## 4.5 Availability Status Updates
## 4.5.1 The system shall automatically update availability status when rent lifecycle events occur.
## 4.5.2 The system shall ensure availability status reflects the current lifecycle state of rent records.
## 4.5.3 The system shall ensure availability changes are applied immediately.

[11] source=bfd9d8de995ec51f type=SrcChunk hops=0 score=0.6797 chunk=bfd9d8de995ec51f doc=TOOLCHAIN-CONF-NOTIFICATION-01.md rel=VECTOR_SIMILARITY
# Documentum ID: TOOLCHAIN-CONF-NOTIFICATION-01
# Description: Notifications
# Status: Effective

## 5. Notifications
## 5.1 Notification Event",False,False,3,"Feature: Rent Cancellation Rules
  Scenario: System prevents cancellation of Completed rent records
    Given a rent record with status ""Completed""
    When an authorized user attempts to cancel the rent
    Then the cancellation request shall be rejected
    And the rent status shall remain ""Completed""",present_in_evidence,PRESENT_USABLE,
5,R2,claude-haiku-4-5-20251001,vector,R2_1,9,cross_module,E.164 normalization + strict email validation,"counts that are not in Active status (e.g., Pending, Suspended, Deleted)."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-110"",
    ""summary"": ""Activation token - Enforce single-use"",
    ""description"": ""Activation tokens shall be single-use. After a successful activation, the system shall invalidate the activation token immediately to prevent reuse."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-111"",
    ""summary"": ""Support registration for multiple users sharing the same email address"",
    ""description"": ""In some use cases (e.g. family accounts or shared organizational email addresses), multiple users may attempt to register using the same email address. Instead of enforcing strict email uniqueness, we may allow multiple accountsto share the same email if another identifier (such as phone number) is unique. This would require adjusting the registration validation logic."",
    ""comments"": [
      {
        ""author"": ""QA Engineer Marta"",
        ""timestamp"": ""202",False,False,2,"Feature: Email Uniqueness Validation
  Scenario: User registers with a unique email address
    Given a new user registration form
    When the user enters a unique email address that has not been used before
    Then the email validation should pass
    And the registration should proceed to the next step",present_in_evidence,ABSENT,
6,R72,claude-haiku-4-5-20251001,vector,R72_1,20,refine,Monetary representation consistency,"ejected.
## 9.6.3 The system shall allow authorized users t

[35] source=5ddf05c7e16a328a type=SrcChunk hops=0 score=0.6589 chunk=5ddf05c7e16a328a doc=JIRA-Reporting.md rel=VECTOR_SIMILARITY
[
  {
    ""ticket_id"": ""JIRA-REP-701"",
    ""summary"": ""Rent Report Generation Logic"",
    ""description"": ""Implement rent reporting so authorized users can review rental records together with the core identifying and timing information required by the reporting specification. The implementation should remain consistent with the currently supported identifier model, while also accounting for historical data representations that may differ from present-day operational terminology."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""timestamp"": ""2026-03-05T09:00:00Z"",
        ""text"": ""Implementation note: the reporting UI is currently leaning toward the warehouse-facing identifier wording rather than the formal term used in the specification. Please con",False,False,2,"Given a billing record with a stored total of 1500.50 USD
When the system displays the billing total with currency formatting
Then the displayed total shall be 1500.50 USD
And the stored total shall remain 1500.50 USD
And the displayed value shall match the stored value exactly",present_in_evidence,ABSENT,
7,R25,claude-haiku-4-5-20251001,graph,R25_1,20,cross_module,Loyalty eligibility condition rule,"""Real-time Status Sync"",
    ""description"": ""Ensure availability changes are applied immediately when relevant rental lifecycle events or availability controls are updated."",
    ""status"": ""To Do""
  }
]

[8] source=R93c type=Requirement/SrcChunk hops=1 chunk=fdb6d8e7e523c75b doc=TOOLCHAIN-CONF-REWARDS&PANELTIES-01.md rel=AFFECTS
# Documentum ID: TOOLCHAIN-CONF-REWARDS&PANELTIES-01
# Description: Rewards and Penalties Management
# Status: Effective

## 9. Rewards and Penalties Management

## 9.1 Loyalty Points Accrual
## 9.1.1 The system shall allow users to earn loyalty points based on completed rents.
## 9.1.2 The system shall calculate loyalty points according to configured business rules.
## 9.1.3 The system shall assign loyalty points only when rent status is Completed and payment status is Paid.
## 9.1.4 The system shall store loyalty point balances in the user account.
## 9.1.5 The system shall update loyalty balances immediately after points are awarded.

## 9.2 Loyalty Points R",False,False,2,"Feature: End-of-rent lifecycle transition
  Scenario: Rent reaches scheduled end date and transitions to Maintenance
    Given an authenticated user has an active rent for an available rentable item
    And the rent has a scheduled end date
    When the scheduled end date is reached
    Then the system shall update the rent status to 'Maintenance'
    And the item shall appear non-rentable during the Maintenance period",present_in_evidence,PRESENT_USABLE,
8,R72b,claude-haiku-4-5-20251001,hybrid,R72b_1,16,refine,Reporting data lineage traceability,"Y-603"",
    ""summary"": ""Invoice Generation Engine"",
    ""description"": ""Generate invoices for billable rental outcomes, assign stable invoice identif

[20] source=22d80e39745d1186 type=SrcChunk hops=0 score=0.6684 chunk=22d80e39745d1186 doc=JIRA-Reporting.md rel=VECTOR_SIMILARITY
 truth to avoid mismatches between invoices and exported summaries.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-REP-703"",
    ""summary"": ""User Activity and Audit Logging"",
    ""description"": ""Implement user activity reporting and audit logging for critical system events, while preserving traceability and staying aligned with privacy constraints around what user-related data may appear in logs and operational views."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""timestamp"": ""2026-03-07T08:30:00Z"",
        ""text"": ""Privacy note: the specification expects user-linked auditability, but the current compliance direction discourages exposing directly identifia",False,False,3,"Feature: Financial Report Accuracy - Billing Context Alignment

  Scenario: Verify financial figures match across reports and billing records
    Given a rent record with a billing amount of 1000 USD
    When the financial report is generated
    And the billing record is retrieved
    And the exported file is created
    Then the amount shown in the report should equal 1000 USD
    And the amount in the billing record should equal 1000 USD
    And the amount in the exported file should equal 1000 USD
    And all three sources should reflect identical calculation assumptions",present_in_evidence,PRESENT_USABLE,
9,R58c,claude-haiku-4-5-20251001,vector,R58c_1,20,refine,Mandatory notification exception handling,"le under transient delivery issues."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""timestamp"": ""2026-02-25T09:00:00Z"",
        ""text"": ""The retry flow is now limited to a small number of repeated attempts before the failure is escalated into the operational logging path. Please confirm whether that threshold should stay configurable or remain fixed for beta.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-NOTIF-503"",
    ""summary"": ""Reminder Notification Scheduling"",
    ""description"": ""Implement reminder messages around rental start and end milestones, with configura

[34] source=c48c34de8cf76bce type=SrcChunk hops=0 score=0.6151 chunk=c48c34de8cf76bce doc=EMAIL_SUPPORT_Emergency_Override.txt rel=VECTOR_SIMILARITY
From: support_lead@toolchain.com
Date: 2026-02-24 15:30
Subject: Escalation: exception handling for priority customers

Hi Dev Team,

Support keeps running into cases where a high-priority customer wants to secure an item",False,False,3,"Feature: Notification Preference Rule
  Scenario: User enables notification preferences for rent lifecycle events
    Given a user has an active account
    When the user enables notification preferences for rent lifecycle events
    Then the system shall deliver notifications for rent lifecycle events
    And the preference setting shall be recorded in the user profile",present_in_evidence,ABSENT,
10,R24,claude-haiku-4-5-20251001,vector,R24_1,10,cross_module,Rent creation flow,"event unauthorized modification of penalty records.

## 9.6 Dispute Management
## 9.6.1 The system shall allow users to submit disputes for penalties.
## 9.6.2 The system shall store dispute status including Open, Under Review, Approved, and Rejected.
## 9.6.3 The system shall allow authorized users t

[33] source=128cf22dddc1b4d2 type=SrcChunk hops=0 score=0.7188 chunk=128cf22dddc1b4d2 doc=JIRA-Lifecycle.md rel=VECTOR_SIMILARITY
[
  {
    ""ticket_id"": ""JIRA-LIFE-201"",
    ""summary"": ""Implement Rent Creation Flow"",
    ""description"": ""Develop the initial rent request screen based on TOOLCHAIN-CONF-RENT-01 Section 2.1. The system must capture item selection, start date, and end date. Ensure a unique Rent ID is generated for every record."",
    ""status"": ""Closed"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""timestamp"": ""2026-02-10T08:00:00Z"",
        ""text"": ""Base flow implemented. Status is set to 'Requested' by default as per 2.1.6.""
      }
    ]
  },
  {
  ",False,False,3,"Feature: Rent Activation Rule
  Scenario: System automatically activates rent when start date is reached
    Given a rent record with status ""Approved""
    And the rental start date is set to today
    When the system processes rent activation
    Then the rent status should be updated to ""Active""",present_in_evidence,PRESENT_USABLE,
11,R81b,claude-haiku-4-5-20251001,hybrid,R81b_1,30,refine,EMAIL_DATA_Internal_Audit_Discrepancy.txt,"[1] source=R81b type=Requirement hops=0 rel=TARGET
Human-readable audit identity

[2] source=R81b type=Requirement/SrcChunk hops=0 chunk=c9549ababe52be5f doc=EMAIL_DATA_Internal_Audit_Discrepancy.txt rel=TARGET
From: internal_audit@toolchain.com
Date: 2026-03-08 14:00
Subject: Review findings on reporting consistency

Hi Dev Team,

During our recent reporting review, we found several consistency issues that need clarification before the reporting package can be considered reliable for audit use.

First, the financial outputs do not appear to align cleanly across all billing contexts. In some cases, the figures shown in reports, exported files, and bi",False,False,2,"Feature: Human-readable audit identity access
  Scenario: Authorized reviewer resolves privacy-preserving audit identifier
    Given an authorized administrative reviewer with audit access permissions
    And an audit log entry containing a privacy-preserving identifier
    When the reviewer accesses the identity-resolution mechanism
    Then the system returns the human-readable identity associated with the privacy-preserving identifier
    And the resolution is logged for audit purposes",present_in_evidence,PRESENT_USABLE,
12,R58c,gpt-4o-mini,graph,R58c_2,4,local,Notification preference rule,"ING_Newsletter_Force.txt rel=TARGET
From: marketing@toolchain.com
Date: 2026-02-26 16:00
Subject: Question about promotional content in reminder communications

Hi Team,

For the beta period, Marketing would like to explore whether reminder-style emails could also carry a small promotional or onboarding message, instead of treating product messaging and operational reminders as completely separate streams.

Before we move in that direction, we need guidance on how this should interact with user notification settings. From a campaign perspective, the reminder channel looks attractive because it already reaches active users at important points in the rental journey. However, we do not want to assume that a message containing both operational and promotional content should automatically follow the same preference rules as a purely operational reminder.

Please advise whether this needs a dedicated notification category, a separate consent decision, or a strict separation between transacti",False,False,3,"Feature: Marketing Notifications
  Scenario: User has not provided consent for marketing notifications
    Given the user has not opted in for marketing notifications
    When the system attempts to send a marketing notification
    Then the notification should not be sent",present_in_evidence,PRESENT_USABLE,
