runId,reqId,mode,pipeline,provider,model,repeatIndex,promptVersion,testId,title,gherkin,rationale,usedSourceIds,usedContextItems,evidenceSources,targetTitle,targetBody,evidenceText,generationSummary,resolvedOperativeContext,resolvedExceptions,resolvedConflictsOrObsolete,resolvedGapsOrUncertainties,resolvedEvidenceIds,resolutionNotes,injectedOperativeCount,injectedExceptionsCount,injectedConflictsCount,injectedGapsCount
6969184d,R61,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R61_1,Create a new pricing configuration rule,"Feature: Pricing Configuration Rule Management
  Scenario: Create a new pricing configuration rule
    Given the pricing configuration system is available
    When a user creates a new pricing rule with valid parameters
    Then the pricing rule should be successfully created
    And the rule should be stored in the system",Validates that pricing configuration rules can be created with proper parameters and persisted in the system.,R61,Pricing configuration rule,,Pricing configuration rule,Pricing configuration rule,NO_EVIDENCE,"Pricing configuration rule - Test cases for validating pricing configuration functionality including rule creation, validation, application, and management.",,,,,,,0,0,0,0
6969184d,R61,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R61_2,Apply pricing configuration rule to products,"Feature: Pricing Configuration Rule Application
  Scenario: Apply pricing configuration rule to products
    Given a pricing configuration rule exists
    When the rule is applied to a product
    Then the product pricing should be updated according to the rule
    And the change should be reflected in the system",Ensures that pricing configuration rules can be applied to products and that pricing updates are correctly reflected.,R61,Pricing configuration rule,,Pricing configuration rule,Pricing configuration rule,NO_EVIDENCE,"Pricing configuration rule - Test cases for validating pricing configuration functionality including rule creation, validation, application, and management.",,,,,,,0,0,0,0
6969184d,R61,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R61_3,Validate pricing configuration rule parameters,"Feature: Pricing Configuration Rule Validation
  Scenario: Validate pricing configuration rule parameters
    Given a pricing configuration rule is being created
    When the rule parameters are validated
    Then invalid parameters should be rejected
    And valid parameters should be accepted",Confirms that pricing configuration rules validate input parameters correctly before creation.,R61,Pricing configuration rule,,Pricing configuration rule,Pricing configuration rule,NO_EVIDENCE,"Pricing configuration rule - Test cases for validating pricing configuration functionality including rule creation, validation, application, and management.",,,,,,,0,0,0,0
6969184d,R61,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R61_4,Update an existing pricing configuration rule,"Feature: Pricing Configuration Rule Updates
  Scenario: Update an existing pricing configuration rule
    Given a pricing configuration rule exists in the system
    When a user modifies the rule parameters
    Then the rule should be updated with new values
    And the changes should be applied to affected products",Validates that existing pricing configuration rules can be modified and changes propagate correctly.,R61,Pricing configuration rule,,Pricing configuration rule,Pricing configuration rule,NO_EVIDENCE,"Pricing configuration rule - Test cases for validating pricing configuration functionality including rule creation, validation, application, and management.",,,,,,,0,0,0,0
6969184d,R61,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R61_5,Delete a pricing configuration rule,"Feature: Pricing Configuration Rule Deletion
  Scenario: Delete a pricing configuration rule
    Given a pricing configuration rule exists
    When a user deletes the rule
    Then the rule should be removed from the system
    And products should no longer be affected by the deleted rule",Ensures that pricing configuration rules can be deleted and no longer impact product pricing.,R61,Pricing configuration rule,,Pricing configuration rule,Pricing configuration rule,NO_EVIDENCE,"Pricing configuration rule - Test cases for validating pricing configuration functionality including rule creation, validation, application, and management.",,,,,,,0,0,0,0
6969184d,R61,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R61_6,List all pricing configuration rules,"Feature: Pricing Configuration Rule Listing
  Scenario: List all pricing configuration rules
    Given multiple pricing configuration rules exist
    When a user requests to view all rules
    Then all active rules should be displayed
    And the list should include rule details",Validates that users can retrieve and view all pricing configuration rules in the system.,R61,Pricing configuration rule,,Pricing configuration rule,Pricing configuration rule,NO_EVIDENCE,"Pricing configuration rule - Test cases for validating pricing configuration functionality including rule creation, validation, application, and management.",,,,,,,0,0,0,0
6969184d,R61,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R61_7,Enable or disable a pricing configuration rule,"Feature: Pricing Configuration Rule Status Management
  Scenario: Enable or disable a pricing configuration rule
    Given a pricing configuration rule exists
    When a user changes the rule status
    Then the rule status should be updated
    And disabled rules should not be applied to products",Confirms that pricing configuration rules can be toggled between enabled and disabled states.,R61,Pricing configuration rule,,Pricing configuration rule,Pricing configuration rule,NO_EVIDENCE,"Pricing configuration rule - Test cases for validating pricing configuration functionality including rule creation, validation, application, and management.",,,,,,,0,0,0,0
6969184d,R61,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R61_8,Apply multiple pricing configuration rules to a product,"Feature: Multiple Pricing Configuration Rules
  Scenario: Apply multiple pricing configuration rules to a product
    Given multiple pricing configuration rules exist
    When all applicable rules are applied to a product
    Then the product pricing should reflect all rule applications
    And the final price should be calculated correctly",Validates that multiple pricing configuration rules can be applied to a single product with correct price calculation.,R61,Pricing configuration rule,,Pricing configuration rule,Pricing configuration rule,NO_EVIDENCE,"Pricing configuration rule - Test cases for validating pricing configuration functionality including rule creation, validation, application, and management.",,,,,,,0,0,0,0
6969184d,R61,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R61_9,Search for pricing configuration rules by criteria,"Feature: Pricing Configuration Rule Search
  Scenario: Search for pricing configuration rules by criteria
    Given multiple pricing configuration rules exist
    When a user searches for rules using specific criteria
    Then matching rules should be returned
    And non-matching rules should be excluded",Ensures that users can search and filter pricing configuration rules based on specific criteria.,R61,Pricing configuration rule,,Pricing configuration rule,Pricing configuration rule,NO_EVIDENCE,"Pricing configuration rule - Test cases for validating pricing configuration functionality including rule creation, validation, application, and management.",,,,,,,0,0,0,0
6969184d,R61,hybrid,no_retrieval,anthropic,claude-haiku-4-5-20251001,0,2026-07-03.v3,R61_10,Verify pricing configuration rule precedence,"Feature: Pricing Configuration Rule Precedence
  Scenario: Verify pricing configuration rule precedence
    Given multiple pricing configuration rules with different priorities exist
    When rules are applied to a product
    Then rules should be applied in the correct order of precedence
    And the final price should reflect the correct rule application order",Validates that pricing configuration rules are applied in the correct order when multiple rules affect the same product.,R61,Pricing configuration rule,,Pricing configuration rule,Pricing configuration rule,NO_EVIDENCE,"Pricing configuration rule - Test cases for validating pricing configuration functionality including rule creation, validation, application, and management.",,,,,,,0,0,0,0
