runId,reqId,mode,pipeline,provider,model,repeatIndex,promptVersion,testId,title,gherkin,rationale,usedSourceIds,usedContextItems,evidenceSources,targetTitle,targetBody,evidenceText,generationSummary,resolvedOperativeContext,resolvedExceptions,resolvedConflictsOrObsolete,resolvedGapsOrUncertainties,resolvedEvidenceIds,resolutionNotes,injectedOperativeCount,injectedExceptionsCount,injectedConflictsCount,injectedGapsCount
af299b82,R91d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R91d_1,Accrue points for a purchase over $100,"Feature: Loyalty points accrual
  Scenario: Customer makes a purchase over $100
    Given the customer has an account
    When the customer makes a purchase of $150
    Then the customer should accrue 150 loyalty points","To verify that customers earn points based on their purchase amount, specifically for purchases over $100.",R91d,Loyalty points accrual rule,,Loyalty points accrual rule,Loyalty points accrual rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty points accrual rule requirement, ensuring that the system correctly implements the rules for accruing loyalty points based on specified conditions.",,,,,,,0,0,0,0
af299b82,R91d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R91d_2,No points accrued for a purchase under $10,"Feature: Loyalty points accrual
  Scenario: Customer makes a purchase under $10
    Given the customer has an account
    When the customer makes a purchase of $5
    Then the customer should accrue 0 loyalty points",To ensure that the system does not award points for purchases below the minimum threshold.,R91d,Loyalty points accrual rule,,Loyalty points accrual rule,Loyalty points accrual rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty points accrual rule requirement, ensuring that the system correctly implements the rules for accruing loyalty points based on specified conditions.",,,,,,,0,0,0,0
af299b82,R91d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R91d_3,Accrue points for multiple purchases,"Feature: Loyalty points accrual
  Scenario: Customer makes multiple purchases
    Given the customer has an account
    When the customer makes purchases of $50, $75, and $100
    Then the customer should accrue 225 loyalty points",To check that points are correctly accumulated across multiple transactions.,R91d,Loyalty points accrual rule,,Loyalty points accrual rule,Loyalty points accrual rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty points accrual rule requirement, ensuring that the system correctly implements the rules for accruing loyalty points based on specified conditions.",,,,,,,0,0,0,0
af299b82,R91d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R91d_4,Accrue bonus points for a purchase over $200,"Feature: Loyalty points accrual
  Scenario: Customer makes a purchase over $200
    Given the customer has an account
    When the customer makes a purchase of $250
    Then the customer should accrue 300 loyalty points",To verify that higher purchases yield bonus points as per the accrual rule.,R91d,Loyalty points accrual rule,,Loyalty points accrual rule,Loyalty points accrual rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty points accrual rule requirement, ensuring that the system correctly implements the rules for accruing loyalty points based on specified conditions.",,,,,,,0,0,0,0
af299b82,R91d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R91d_5,Accrue points for a purchase exactly $100,"Feature: Loyalty points accrual
  Scenario: Customer makes a purchase of exactly $100
    Given the customer has an account
    When the customer makes a purchase of $100
    Then the customer should accrue 100 loyalty points",To ensure that the system correctly awards points for purchases that meet the threshold exactly.,R91d,Loyalty points accrual rule,,Loyalty points accrual rule,Loyalty points accrual rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty points accrual rule requirement, ensuring that the system correctly implements the rules for accruing loyalty points based on specified conditions.",,,,,,,0,0,0,0
af299b82,R91d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R91d_6,No points accrued for a refund,"Feature: Loyalty points accrual
  Scenario: Customer receives a refund
    Given the customer has accrued 100 loyalty points
    When the customer returns a purchase of $50
    Then the customer should have 100 loyalty points","To confirm that points are not deducted for refunds, maintaining the accrued points until the next purchase.",R91d,Loyalty points accrual rule,,Loyalty points accrual rule,Loyalty points accrual rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty points accrual rule requirement, ensuring that the system correctly implements the rules for accruing loyalty points based on specified conditions.",,,,,,,0,0,0,0
af299b82,R91d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R91d_7,Accrue points for a purchase with a discount,"Feature: Loyalty points accrual
  Scenario: Customer makes a purchase with a discount
    Given the customer has an account
    When the customer makes a purchase of $120 with a 20% discount
    Then the customer should accrue 120 loyalty points",To ensure that discounts do not affect the points accrued based on the original purchase amount.,R91d,Loyalty points accrual rule,,Loyalty points accrual rule,Loyalty points accrual rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty points accrual rule requirement, ensuring that the system correctly implements the rules for accruing loyalty points based on specified conditions.",,,,,,,0,0,0,0
af299b82,R91d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R91d_8,Accrue points for a subscription purchase,"Feature: Loyalty points accrual
  Scenario: Customer purchases a subscription
    Given the customer has an account
    When the customer purchases a subscription for $200
    Then the customer should accrue 200 loyalty points",To verify that subscription purchases also contribute to loyalty points accrual.,R91d,Loyalty points accrual rule,,Loyalty points accrual rule,Loyalty points accrual rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty points accrual rule requirement, ensuring that the system correctly implements the rules for accruing loyalty points based on specified conditions.",,,,,,,0,0,0,0
af299b82,R91d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R91d_9,Accrue points for gift card purchases,"Feature: Loyalty points accrual
  Scenario: Customer purchases a gift card
    Given the customer has an account
    When the customer purchases a gift card for $50
    Then the customer should accrue 50 loyalty points",To check that gift card purchases are eligible for points accrual.,R91d,Loyalty points accrual rule,,Loyalty points accrual rule,Loyalty points accrual rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty points accrual rule requirement, ensuring that the system correctly implements the rules for accruing loyalty points based on specified conditions.",,,,,,,0,0,0,0
af299b82,R91d,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R91d_10,Accrue points for a purchase with loyalty card,"Feature: Loyalty points accrual
  Scenario: Customer uses loyalty card for a purchase
    Given the customer has an account and a loyalty card
    When the customer makes a purchase of $80
    Then the customer should accrue 80 loyalty points",To ensure that using a loyalty card correctly accrues points based on the purchase amount.,R91d,Loyalty points accrual rule,,Loyalty points accrual rule,Loyalty points accrual rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Loyalty points accrual rule requirement, ensuring that the system correctly implements the rules for accruing loyalty points based on specified conditions.",,,,,,,0,0,0,0
