runId,reqId,mode,pipeline,provider,model,repeatIndex,promptVersion,testId,title,gherkin,rationale,usedSourceIds,usedContextItems,evidenceSources,targetTitle,targetBody,evidenceText,generationSummary,resolvedOperativeContext,resolvedExceptions,resolvedConflictsOrObsolete,resolvedGapsOrUncertainties,resolvedEvidenceIds,resolutionNotes,injectedOperativeCount,injectedExceptionsCount,injectedConflictsCount,injectedGapsCount
9d758057,R45,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R45_1,Check availability for a valid item,"Given I have a valid item ID
When I query the availability
Then I should receive a correct availability status",To ensure that the system correctly identifies the availability of a valid item.,R45,availability query correctness,,Availability query correctness,Availability query correctness,NO_EVIDENCE,This document outlines test cases to verify the correctness of availability queries based on the specified requirement.,,,,,,,0,0,0,0
9d758057,R45,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R45_2,Check availability for an invalid item,"Given I have an invalid item ID
When I query the availability
Then I should receive an error message",To verify that the system handles invalid item IDs appropriately.,R45,availability query correctness,,Availability query correctness,Availability query correctness,NO_EVIDENCE,This document outlines test cases to verify the correctness of availability queries based on the specified requirement.,,,,,,,0,0,0,0
9d758057,R45,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R45_3,Check availability for an item with multiple locations,"Given I have an item ID that exists in multiple locations
When I query the availability
Then I should receive availability status for all locations",To ensure that the system provides correct availability information across multiple locations.,R45,availability query correctness,,Availability query correctness,Availability query correctness,NO_EVIDENCE,This document outlines test cases to verify the correctness of availability queries based on the specified requirement.,,,,,,,0,0,0,0
9d758057,R45,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R45_4,Check availability for an item that is out of stock,"Given I have an item ID that is out of stock
When I query the availability
Then I should receive an out of stock status",To confirm that the system correctly identifies when an item is out of stock.,R45,availability query correctness,,Availability query correctness,Availability query correctness,NO_EVIDENCE,This document outlines test cases to verify the correctness of availability queries based on the specified requirement.,,,,,,,0,0,0,0
9d758057,R45,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R45_5,Check availability for an item with a future restock date,"Given I have an item ID that will be restocked in the future
When I query the availability
Then I should receive a restock date in the response",To ensure that the system provides information about future restocks correctly.,R45,availability query correctness,,Availability query correctness,Availability query correctness,NO_EVIDENCE,This document outlines test cases to verify the correctness of availability queries based on the specified requirement.,,,,,,,0,0,0,0
9d758057,R45,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R45_6,Check availability for a discontinued item,"Given I have a discontinued item ID
When I query the availability
Then I should receive a discontinued status",To verify that the system correctly identifies discontinued items.,R45,availability query correctness,,Availability query correctness,Availability query correctness,NO_EVIDENCE,This document outlines test cases to verify the correctness of availability queries based on the specified requirement.,,,,,,,0,0,0,0
9d758057,R45,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R45_7,Check availability for an item with varying stock levels,"Given I have an item ID with varying stock levels
When I query the availability
Then I should receive the current stock level",To ensure that the system accurately reflects the current stock level of an item.,R45,availability query correctness,,Availability query correctness,Availability query correctness,NO_EVIDENCE,This document outlines test cases to verify the correctness of availability queries based on the specified requirement.,,,,,,,0,0,0,0
9d758057,R45,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R45_8,Check availability for an item with a special order,"Given I have an item ID that requires a special order
When I query the availability
Then I should receive a special order status",To confirm that the system correctly identifies items that require special ordering.,R45,availability query correctness,,Availability query correctness,Availability query correctness,NO_EVIDENCE,This document outlines test cases to verify the correctness of availability queries based on the specified requirement.,,,,,,,0,0,0,0
9d758057,R45,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R45_9,Check availability for an item with seasonal stock,"Given I have an item ID that is seasonally available
When I query the availability
Then I should receive a seasonal availability status",To ensure that the system provides correct information for items that are only available seasonally.,R45,availability query correctness,,Availability query correctness,Availability query correctness,NO_EVIDENCE,This document outlines test cases to verify the correctness of availability queries based on the specified requirement.,,,,,,,0,0,0,0
9d758057,R45,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R45_10,Check availability for an item with a backorder option,"Given I have an item ID that can be backordered
When I query the availability
Then I should receive a backorder option in the response",To verify that the system correctly identifies items that can be backordered.,R45,availability query correctness,,Availability query correctness,Availability query correctness,NO_EVIDENCE,This document outlines test cases to verify the correctness of availability queries based on the specified requirement.,,,,,,,0,0,0,0
