runId,reqId,mode,pipeline,provider,model,repeatIndex,promptVersion,testId,title,gherkin,rationale,usedSourceIds,usedContextItems,evidenceSources,targetTitle,targetBody,evidenceText,generationSummary,resolvedOperativeContext,resolvedExceptions,resolvedConflictsOrObsolete,resolvedGapsOrUncertainties,resolvedEvidenceIds,resolutionNotes,injectedOperativeCount,injectedExceptionsCount,injectedConflictsCount,injectedGapsCount
d1b1dc13,R84b,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R84b_1,Verify delivery lifecycle initiation,"Feature: Delivery Lifecycle Management
  Scenario: Initiate a delivery lifecycle
    Given a new delivery request is created
    When the delivery lifecycle is initiated
    Then the delivery status should be set to 'In Progress'",To ensure that a new delivery request correctly transitions to the 'In Progress' status when the lifecycle is initiated.,R84b,Delivery lifecycle management rule,,Delivery lifecycle management rule,Delivery lifecycle management rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Delivery lifecycle management rule, focusing on various scenarios related to the management of delivery lifecycles.",,,,,,,0,0,0,0
d1b1dc13,R84b,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R84b_2,Check delivery lifecycle completion,"Feature: Delivery Lifecycle Management
  Scenario: Complete a delivery lifecycle
    Given a delivery is in 'In Progress' status
    When the delivery lifecycle is completed
    Then the delivery status should be set to 'Completed'",To verify that a delivery can be marked as completed after being in progress.,R84b,Delivery lifecycle management rule,,Delivery lifecycle management rule,Delivery lifecycle management rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Delivery lifecycle management rule, focusing on various scenarios related to the management of delivery lifecycles.",,,,,,,0,0,0,0
d1b1dc13,R84b,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R84b_3,Handle delivery lifecycle cancellation,"Feature: Delivery Lifecycle Management
  Scenario: Cancel a delivery lifecycle
    Given a delivery is in 'In Progress' status
    When the delivery lifecycle is cancelled
    Then the delivery status should be set to 'Cancelled'",To ensure that a delivery can be cancelled and its status updated accordingly.,R84b,Delivery lifecycle management rule,,Delivery lifecycle management rule,Delivery lifecycle management rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Delivery lifecycle management rule, focusing on various scenarios related to the management of delivery lifecycles.",,,,,,,0,0,0,0
d1b1dc13,R84b,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R84b_4,Verify delivery lifecycle status tracking,"Feature: Delivery Lifecycle Management
  Scenario: Track delivery lifecycle status changes
    Given a delivery is created
    When the delivery lifecycle status changes
    Then the status history should reflect all changes",To confirm that all status changes during the delivery lifecycle are tracked correctly.,R84b,Delivery lifecycle management rule,,Delivery lifecycle management rule,Delivery lifecycle management rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Delivery lifecycle management rule, focusing on various scenarios related to the management of delivery lifecycles.",,,,,,,0,0,0,0
d1b1dc13,R84b,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R84b_5,Ensure delivery lifecycle notifications,"Feature: Delivery Lifecycle Management
  Scenario: Send notifications on delivery lifecycle changes
    Given a delivery lifecycle is initiated
    When the status changes
    Then a notification should be sent to the relevant stakeholders",To verify that notifications are sent out when there are changes in the delivery lifecycle.,R84b,Delivery lifecycle management rule,,Delivery lifecycle management rule,Delivery lifecycle management rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Delivery lifecycle management rule, focusing on various scenarios related to the management of delivery lifecycles.",,,,,,,0,0,0,0
d1b1dc13,R84b,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R84b_6,Validate delivery lifecycle error handling,"Feature: Delivery Lifecycle Management
  Scenario: Handle errors during delivery lifecycle",To ensure that errors during the delivery lifecycle are handled gracefully and do not crash the system.,R84b,Delivery lifecycle management rule,,Delivery lifecycle management rule,Delivery lifecycle management rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Delivery lifecycle management rule, focusing on various scenarios related to the management of delivery lifecycles.",,,,,,,0,0,0,0
d1b1dc13,R84b,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R84b_7,Test delivery lifecycle audit logging,"Feature: Delivery Lifecycle Management
  Scenario: Log delivery lifecycle actions
    Given a delivery lifecycle action is performed
    When the action is logged
    Then the log should contain the action details",To ensure that all actions taken during the delivery lifecycle are logged for auditing purposes.,R84b,Delivery lifecycle management rule,,Delivery lifecycle management rule,Delivery lifecycle management rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Delivery lifecycle management rule, focusing on various scenarios related to the management of delivery lifecycles.",,,,,,,0,0,0,0
d1b1dc13,R84b,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R84b_8,Check delivery lifecycle data integrity,"Feature: Delivery Lifecycle Management
  Scenario: Ensure data integrity during delivery lifecycle
    Given a delivery is created
    When the delivery lifecycle is processed
    Then the data should remain consistent throughout the lifecycle",To verify that the data associated with a delivery remains consistent during its lifecycle.,R84b,Delivery lifecycle management rule,,Delivery lifecycle management rule,Delivery lifecycle management rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Delivery lifecycle management rule, focusing on various scenarios related to the management of delivery lifecycles.",,,,,,,0,0,0,0
d1b1dc13,R84b,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R84b_9,Assess delivery lifecycle performance,"Feature: Delivery Lifecycle Management
  Scenario: Measure performance of delivery lifecycle processes
    Given a delivery lifecycle is initiated
    When the delivery lifecycle processes are executed
    Then the performance metrics should be within acceptable limits",To ensure that the delivery lifecycle processes perform efficiently and meet performance standards.,R84b,Delivery lifecycle management rule,,Delivery lifecycle management rule,Delivery lifecycle management rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Delivery lifecycle management rule, focusing on various scenarios related to the management of delivery lifecycles.",,,,,,,0,0,0,0
d1b1dc13,R84b,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R84b_10,Confirm delivery lifecycle compliance,"Feature: Delivery Lifecycle Management
  Scenario: Ensure compliance with delivery lifecycle regulations
    Given a delivery lifecycle is in progress
    When compliance checks are performed
    Then the delivery should meet all regulatory requirements",To verify that the delivery lifecycle adheres to all necessary regulations and compliance standards.,R84b,Delivery lifecycle management rule,,Delivery lifecycle management rule,Delivery lifecycle management rule,NO_EVIDENCE,"This document outlines Gherkin test cases for the Delivery lifecycle management rule, focusing on various scenarios related to the management of delivery lifecycles.",,,,,,,0,0,0,0
